age,nsw,vic,qld,wa,sa,tas,act,nt,australia
10,—,—,0.1,0.5,—,0.1,—,n.a.,0.7
11,—,0.1,2.3,0.5,—,—,—,n.a.,3
12,0.8,—,14.3,4.4,1.3,0.8,0.7,n.a.,22.3
13,4.8,1.1,48.1,16.8,5.7,2.1,1,n.a.,79.7
14,56.4,12.7,105.4,43.7,17.7,7.2,7.1,n.a.,250.2
15,173.5,48.1,193,82.8,40.4,18.3,11.2,n.a.,567.2
16,238.7,77.1,246.7,100.2,54,28.7,11.4,n.a.,756.8
17,265.3,89.6,250.1,118.9,50,39.1,15.9,n.a.,828.9
10–17,739.5,228.7,860,367.8,169.1,96.4,47.4,n.a.,2508.8
18+,69.4,190.7,403.8,77,34.4,50.8,23.5,n.a.,849.5
Total,808.9,419.4,1263.8,444.9,203.4,147.2,70.9,n.a.,3358.4
