indigenous_status,age_group,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10–13 years,91,4,156,146,39,n.p.,n.p.,84,531
First Nations,14–17 years,1077,113,1195,662,252,74,43,526,3942
First Nations,18+ years,71,81,253,58,28,n.p.,n.p.,324,836
First Nations,Total,1239,198,1604,867,319,95,54,934,5310
Non—Indigenous,10–13 years,61,8,58,38,17,n.p.,n.p.,1,193
Non—Indigenous,14–17 years,967,506,638,495,224,125,100,25,3080
Non—Indigenous,18+ years,73,338,248,41,40,n.p.,n.p.,19,811
Non—Indigenous,Total,1101,852,944,574,281,165,122,45,4084
Not stated,10–13 years,8,—,—,—,—,1,—,3,12
Not stated,14–17 years,105,4,14,—,9,4,—,14,150
Not stated,18+ years,3,—,1,—,—,1,—,18,23
Not stated,Total,116,4,15,—,9,6,—,35,185
Total,10–13 years,160,12,214,184,56,13,9,88,736
Total,14–17 years,2149,623,1847,1157,485,203,143,565,7172
Total,18+ years,147,419,502,99,68,50,24,361,1670
Total,Total,2456,1054,2563,1441,609,266,176,1014,9579
