sex,indigenous_status,10_11,12,13,14,15,16,17
Male,First Nations,12.816,98.057,231.55,442.785,612.98,689.685,843.432
Male,Non-Indigenous,—,0.801,7.249,18.762,36.175,43.594,53.441
Male,Total,0.901,7.317,22.016,47.238,75.679,88.296,108.257
Female,First Nations,—,29.923,89.994,191.215,254.427,252.875,217.021
Female,Non-Indigenous,—,0.717,3.208,5.953,11.189,10.117,13.513
Female,Total,—,2.744,9.051,18.57,27.723,26.909,27.372
Total,First Nations,7.36,64.959,162.083,319.402,437.403,477.446,536.88
Total,Non-Indigenous,—,0.761,5.284,12.533,24.066,27.37,34.217
Total,Total,0.524,5.125,15.709,33.289,52.425,58.567,69.178
