legal_status,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Police-referred pre-court detention,First Nations,0.346,—,0.104,1.693,2.76,—,16.81,—,0.607
Police-referred pre-court detention,Non-Indigenous,0.028,—,—,0.078,0.118,—,1.052,—,0.04
Police-referred pre-court detention,Total,0.053,—,—,0.19,0.26,—,1.561,—,0.078
Remand,First Nations,14.852,7.29,36.549,14.703,18.479,6.169,35.045,35.115,21.867
Remand,Non-Indigenous,0.701,0.814,1.482,0.553,0.825,1.693,2.208,1.254,0.931
Remand,Total,1.762,0.953,4.568,1.533,1.791,2.197,3.268,15.363,2.315
Unsentenced,First Nations,15.149,7.29,36.607,16.066,20.433,6.169,51.855,35.115,22.36
Unsentenced,Non-Indigenous,0.725,0.814,1.485,0.609,0.927,1.693,3.261,1.254,0.966
Unsentenced,Total,1.808,0.953,4.576,1.68,1.993,2.197,4.829,15.363,2.38
Sentenced,First Nations,3.839,0.828,5.102,5.937,1.032,1.664,—,22.946,5.199
Sentenced,Non-Indigenous,0.135,0.113,0.095,0.405,0.136,0.336,0.204,0.321,0.157
Sentenced,Total,0.414,0.128,0.535,0.788,0.184,0.486,0.198,9.789,0.491
Total,First Nations,18.927,8.114,40.65,21.924,21.393,7.765,51.855,35.12,25.73
Total,Non-Indigenous,0.858,0.953,1.543,1.012,1.035,1.999,3.465,1.254,1.116
Total,Total,2.216,1.106,4.984,2.46,2.147,2.649,5.026,15.364,2.744
