section,socioeconomic_areas,nsw,vic,qld,wa,sa,tas,act,nt,australia
,1 (lowest),45.212,17.696,58.882,86.783,50.801,53.482,—,334.359,52.274
,2,34.894,8.544,46.319,58.147,26.962,30.346,. .,303.89,37.121
,3,25.162,8.837,24.146,43.277,18.129,25.305,—,271.86,23.419
,4,15.512,5.036,14.568,24.522,13.248,11.768,54.549,96.306,15.664
,5 (highest),10.234,3.929,6.755,15.014,n.p.,n.p.,33.354,—,9.52
