indigenous_status,age,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10-13 years,86,n.p.,91,n.p.,34,n.p.,n.p.,n.p.,362
First Nations,14-17 years,676,49,629,415,148,n.p.,n.p.,284,2250
First Nations,18+ years,33,n.p.,11,n.p.,4,n.p.,n.p.,n.p.,54
First Nations,Total,795,53,731,527,186,22,34,318,2666
Non-Indigenous,10-13 years,55,n.p.,33,n.p.,14,n.p.,n.p.,n.p.,141
Non-Indigenous,14-17 years,589,292,294,230,138,n.p.,n.p.,9,1655
Non-Indigenous,18+ years,27,n.p.,8,n.p.,7,n.p.,n.p.,n.p.,62
Non-Indigenous,Total,671,317,335,257,159,44,65,10,1858
Not stated,10-13 years,8,—,—,—,—,—,—,—,8
Not stated,14-17 years,40,2,3,—,3,—,—,3,51
Not stated,18+ years,1,—,—,—,—,—,—,1,2
Not stated,Total,49,2,3,—,3,—,—,4,61
Total,10-13 years,149,5,124,139,48,7,6,33,511
Total,14-17 years,1305,343,926,645,289,59,93,296,3956
Total,18+ years,61,24,19,—,11,n.p.,n.p.,n.p.,118
Total,Total,1515,372,1069,784,348,66,99,332,4585
