indigenous_status,10,11,12,13,14,15,16,17,12_17
First Nations,—,—,34.63,85.626,165.154,302.15,288.901,284.65,193.563
Non-Indigenous,—,—,0.235,0.307,8.351,17.18,24.115,29.094,12.947
Total,—,—,1.335,2.95,13.411,26.249,32.752,37.897,18.774
