indigenous_status,age_group,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10–13 years,2.467,0.565,26.723,18.561,15.727,6.767,59.528,n.a.,13.018
First Nations,14–17 years,162.072,74.936,278.549,229.429,222.345,127.461,259.666,n.a.,202.539
First Nations,10–17 years,82.316,38.006,154.587,124.672,121.593,70.117,193.563,n.a.,108.911
Non—Indigenous,10–13 years,0.116,—,0.724,0.539,0.194,0.695,0.271,n.a.,0.288
Non—Indigenous,14–17 years,9.802,7.561,12.266,12.293,9.961,26.647,19.51,n.a.,10.538
Non—Indigenous,10–17 years,4.959,3.768,6.568,6.38,5.113,13.996,12.977,n.a.,5.44
Total,10–13 years,0.296,—,3.003,1.772,1.014,1.408,2.136,n.a.,1.077
Total,14–17 years,21.782,9.008,35.866,27.506,21.845,38.358,27.381,n.a.,22.804
Total,10–17 years,11.041,4.493,19.644,14.572,11.514,20.398,18.816,n.a.,12.002
