year,sex,indigenous_status,10,11,12,13,10_13,14,15,16,17,14_17,10_17,18plus,total
2020-21,Male,First Nations,0.2,0.8,5,15.3,21.4,27.9,52.9,62.4,66.6,209.8,231.1,42.6,273.7
2020-21,Male,Non-Indigenous,—,—,2,4.8,6.8,16.7,32.2,38.8,50.1,137.8,144.7,43.9,188.6
2020-21,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2020-21,Male,Total,0.2,0.8,7.1,20.1,28.2,44.6,85,101.2,116.7,347.6,375.8,86.5,462.3
2020-21,Female,First Nations,—,0.1,0.5,4.5,5.1,8.8,13.2,9.8,12,43.8,48.9,6.8,55.7
2020-21,Female,Non-Indigenous,—,—,—,1.8,1.8,5.9,7.3,7.1,6.8,27.1,28.8,2.3,31.1
2020-21,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2020-21,Female,Total,—,0.1,0.5,6.3,6.9,14.6,20.5,16.9,18.8,70.9,77.7,9.1,86.8
2020-21,Total,First Nations,0.2,0.9,5.6,19.8,26.4,36.7,66,72.3,78.6,253.6,280.1,49.4,329.4
2020-21,Total,Non-Indigenous,—,—,2,6.6,8.6,22.6,39.5,45.9,56.9,164.9,173.5,46.2,219.7
2020-21,Total,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2020-21,Total,Total,0.2,0.9,7.6,26.4,35.1,59.3,105.5,118.1,135.5,418.5,453.5,95.6,549.1
2021-22,Male,First Nations,0.1,0.8,5.6,14.2,20.6,36.6,57,68.7,73.7,236.1,256.7,34.1,290.8
2021-22,Male,Non-Indigenous,—,0.9,2,4.6,7.5,14.8,25.6,39.8,50.2,130.4,137.9,34.7,172.6
2021-22,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2021-22,Male,Total,0.1,1.7,7.5,18.8,28.1,51.5,82.7,108.5,123.8,366.5,394.6,68.8,463.4
2021-22,Female,First Nations,—,—,2.5,8.9,11.4,10.9,10.5,16.4,9.9,47.7,59.1,6.8,65.9
2021-22,Female,Non-Indigenous,—,—,0.1,2.9,3,5.1,7.7,8.9,7.9,29.5,32.5,5.6,38
2021-22,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2021-22,Female,Total,—,—,2.6,11.8,14.4,16,18.2,25.2,17.8,77.2,91.6,12.4,103.9
2021-22,Total,First Nations,0.1,0.8,8.1,23.1,32,47.6,67.6,85.1,83.6,283.8,315.8,40.9,356.7
2021-22,Total,Non-Indigenous,—,0.9,2.1,7.5,10.4,19.9,33.3,48.6,58.1,159.9,170.3,40.3,210.6
2021-22,Total,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2021-22,Total,Total,0.1,1.7,10.1,30.5,42.5,67.4,100.8,133.8,141.6,443.7,486.2,81.2,567.3
2022-23,Male,First Nations,0.1,0.9,5.6,21.9,28.5,33,57.9,70.9,83.7,245.5,274.1,45.7,319.8
2022-23,Male,Non-Indigenous,—,0.3,2.1,6.8,9.2,13.4,32.1,38.9,54.4,138.8,148,30.9,178.9
2022-23,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
