year,sex,indigenous_status,10,11,12,13,10_13,14,15,16,17,14_17,10_17,18plus,total
2020-21,Male,First Nations,—,0.2,1.6,2.9,4.7,5,11,16,21.1,53.2,57.9,16.9,74.8
2020-21,Male,Non-Indigenous,—,0.2,0.2,0.8,1.3,6.8,13.9,15.2,32.7,68.6,69.9,30.8,100.7
2020-21,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,0.7,0.7
2020-21,Male,Total,—,0.5,1.8,3.8,6,11.8,25,31.2,53.9,121.9,127.8,48.4,176.2
2020-21,Female,First Nations,—,—,0.3,0.6,0.8,2.8,6.9,4.4,4.1,18.2,19,5.6,24.6
2020-21,Female,Non-Indigenous,—,—,0.5,0.5,1,1.7,2.8,4.1,4.9,13.5,14.5,1.5,16
2020-21,Female,Not stated,—,—,—,—,—,—,—,0.3,0.3,0.6,0.6,—,0.6
2020-21,Female,Total,—,—,0.8,1.1,1.9,4.5,9.7,8.8,9.3,32.2,34.1,7.1,41.2
2020-21,Total,First Nations,—,0.2,1.8,3.5,5.6,7.8,18,20.5,25.2,71.4,77,22.4,99.4
2020-21,Total,Non-Indigenous,—,0.2,0.7,1.3,2.3,8.5,16.7,19.3,37.6,82.1,84.4,32.3,116.7
2020-21,Total,Not stated,—,—,—,—,—,—,—,0.3,0.3,0.6,0.6,0.7,1.3
2020-21,Total,Total,—,0.5,2.5,4.8,7.8,16.2,34.7,40,63.2,154.1,161.9,55.4,217.4
2021-22,Male,First Nations,—,0.2,0.6,4.5,5.3,9.2,14.8,17.8,18.9,60.7,66,13.6,79.6
2021-22,Male,Non-Indigenous,—,0.2,0.9,2.3,3.3,7.7,12.7,27.2,27.8,75.4,78.7,28.2,106.9
2021-22,Male,Not stated,—,—,—,—,—,—,—,—,0.3,0.3,0.3,0.6,0.9
2021-22,Male,Total,—,0.4,1.4,6.8,8.6,16.9,27.6,45,47,136.5,145.1,42.3,187.4
2021-22,Female,First Nations,—,0.5,0.2,2.3,3,2.3,3.6,7.1,2.7,15.7,18.7,4.8,23.6
