year,sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
2020-21,Male,First Nations,58,10.7,131,65.6,11.3,3.4,1.9,27.7,309.6
2020-21,Male,Non-Indigenous,78.3,83.4,66.3,20.4,8.8,3.9,4.5,1.3,266.8
2020-21,Male,Not stated,1,—,0.1,—,—,—,—,0.4,1.4
2020-21,Male,Total,137.2,94.1,197.4,86,20.1,7.3,6.4,29.3,577.8
2020-21,Female,First Nations,5.1,0.7,14.8,8.4,3.4,—,0.7,2.8,35.9
2020-21,Female,Non-Indigenous,8.7,7.3,8.6,1.7,1.9,0.6,0.9,—,29.7
2020-21,Female,Not stated,0.1,—,—,—,—,—,—,—,0.1
2020-21,Female,Total,13.8,8.1,23.5,10.1,5.2,0.6,1.5,2.8,65.7
2020-21,Not stated,First Nations,0.3,—,—,—,—,—,—,—,0.3
2020-21,Not stated,Non-Indigenous,—,—,—,—,—,—,—,—,—
2020-21,Not stated,Not stated,—,—,—,—,—,—,—,—,—
2020-21,Not stated,Total,0.3,—,—,—,—,—,—,—,0.3
2020-21,Total,First Nations,63.3,11.4,145.9,74,14.7,3.4,2.6,30.5,345.7
2020-21,Total,Non-Indigenous,86.9,90.7,74.9,22.1,10.7,4.6,5.4,1.3,296.6
2020-21,Total,Not stated,1,—,0.1,—,—,—,—,0.4,1.5
2020-21,Total,Total,151.3,102.1,220.8,96.1,25.3,8,8,32.2,643.8
2021-22,Male,First Nations,71.3,11.2,160.4,72.3,13.2,3.2,1.6,44,377.2
2021-22,Male,Non-Indigenous,62.1,60.8,78.4,19.9,12.9,3.9,6.1,1.8,245.8
2021-22,Male,Not stated,1.3,—,—,—,—,—,—,0.3,1.6
2021-22,Male,Total,134.7,72,238.8,92.1,26.1,7.2,7.7,46.1,624.7
2021-22,Female,First Nations,6,0.3,19.9,10.2,2.4,—,1.2,5.6,45.7
2021-22,Female,Non-Indigenous,5.8,6.1,10.1,2.6,2.1,0.9,0.8,0.2,28.6
2021-22,Female,Not stated,0.7,—,—,—,—,—,—,0.3,1
2021-22,Female,Total,12.5,6.4,30,12.7,4.5,0.9,2,6.2,75.3
2021-22,Not stated,First Nations,—,—,—,—,—,—,—,—,—
2021-22,Not stated,Non-Indigenous,—,—,—,—,—,—,—,—,—
2021-22,Not stated,Not stated,—,—,—,—,—,—,—,—,—
2021-22,Not stated,Total,—,—,—,—,—,—,—,—,—
2021-22,Total,First Nations,77.3,11.5,180.3,82.4,15.6,3.2,2.8,49.7,422.9
2021-22,Total,Non-Indigenous,67.8,66.9,88.5,22.4,15,4.9,6.9,2,274.4
2021-22,Total,Not stated,2,—,—,—,—,—,—,0.6,2.7
2021-22,Total,Total,147.2,78.4,268.8,104.9,30.6,8.1,9.7,52.3,700
2022-23,Male,First Nations,93.6,10,175.5,57.7,12.7,2.7,3.1,41.6,396.9
2022-23,Male,Non-Indigenous,55.5,56.6,74.4,19.9,12,7.9,7.9,1.6,235.7
2022-23,Male,Not stated,0.4,—,—,—,—,—,—,1.3,1.7
2022-23,Male,Total,149.5,66.6,249.9,77.5,24.7,10.6,11.1,44.5,634.3
2022-23,Female,First Nations,5.1,0.2,28.3,6.2,4.2,1.2,1.1,6.9,53.2
2022-23,Female,Non-Indigenous,5.4,4.7,7.5,2.7,2.1,1.1,1.6,—,25.1
2022-23,Female,Not stated,0.1,—,—,—,—,—,—,0.5,0.7
2022-23,Female,Total,10.7,5,35.7,8.8,6.3,2.3,2.7,7.4,79
2022-23,Not stated,First Nations,—,—,—,—,—,—,—,—,—
2022-23,Not stated,Non-Indigenous,—,—,—,—,—,—,—,—,0.1
2022-23,Not stated,Not stated,—,—,—,—,—,—,—,—,—
2022-23,Not stated,Total,—,—,—,—,—,—,—,—,0.1
2022-23,Total,First Nations,98.7,10.3,203.8,63.8,17,3.9,4.2,48.5,450.1
2022-23,Total,Non-Indigenous,61,61.3,81.8,22.5,14.1,9,9.5,1.6,260.9
2022-23,Total,Not stated,0.5,—,—,—,—,—,—,1.8,2.4
2022-23,Total,Total,160.2,71.6,285.6,86.4,31.1,13,13.8,51.9,713.4
2023-24,Male,First Nations,108.7,9.6,182.5,53.7,12.3,2.5,3.6,38.4,411.1
2023-24,Male,Non-Indigenous,52.8,42.2,72.9,23,11.4,9.5,7.9,1.6,221.4
2023-24,Male,Not stated,0.2,—,—,—,—,—,—,0.3,0.6
2023-24,Male,Total,161.7,51.8,255.4,76.7,23.7,12,11.6,40.3,633.1
2023-24,Female,First Nations,8,0.6,29.5,4.9,4.1,2.5,0.7,3.3,53.5
2023-24,Female,Non-Indigenous,6.4,1.3,8.5,3.7,2.7,1.1,0.6,—,24.5
2023-24,Female,Not stated,0.1,—,—,—,—,—,—,—,0.1
2023-24,Female,Total,14.5,1.9,38,8.7,6.9,3.6,1.3,3.3,78.2
2023-24,Not stated,First Nations,—,—,—,—,—,—,—,—,—
2023-24,Not stated,Non-Indigenous,—,—,—,—,—,—,—,—,—
2023-24,Not stated,Not stated,—,—,—,—,—,—,—,—,—
2023-24,Not stated,Total,—,—,—,—,—,—,—,—,—
2023-24,Total,First Nations,116.6,10.2,212,58.6,16.4,5,4.3,41.6,464.7
2023-24,Total,Non-Indigenous,59.2,43.6,81.4,26.8,14.2,10.6,8.6,1.6,245.9
2023-24,Total,Not stated,0.4,—,—,—,—,—,—,0.3,0.7
2023-24,Total,Total,176.2,53.7,293.4,85.4,30.5,15.6,12.8,43.6,711.3
2024-25,Male,First Nations,108.8,10.1,177.7,42.2,16.6,3.9,4.5,37.1,400.9
2024-25,Male,Non-Indigenous,60.5,60.7,70.1,24.7,15.2,7.8,10.5,2,251.6
2024-25,Male,Not stated,0.7,0.2,0.1,—,0.3,—,—,0.4,1.8
2024-25,Male,Total,170,71,247.9,66.9,32.1,11.7,15,39.5,654.2
2024-25,Female,First Nations,8.6,1.2,30,3.4,3.9,0.9,1.2,2.9,52
2024-25,Female,Non-Indigenous,5.5,1.6,11.7,3.6,2.2,1.7,0.9,—,27.3
2024-25,Female,Not stated,0.1,—,0.1,—,—,—,—,—,0.3
2024-25,Female,Total,14.3,2.9,41.8,7,6.1,2.6,2,2.9,79.5
2024-25,Not stated,First Nations,—,—,—,—,—,—,—,—,—
2024-25,Not stated,Non-Indigenous,—,—,—,—,—,—,—,—,0.1
2024-25,Not stated,Not stated,—,—,—,—,—,—,—,—,—
2024-25,Not stated,Total,—,—,—,—,—,—,—,—,0.1
2024-25,Total,First Nations,117.4,11.3,207.7,45.6,20.4,4.7,5.7,40,452.8
2024-25,Total,Non-Indigenous,66.1,62.3,81.8,28.3,17.4,9.6,11.4,2,278.9
2024-25,Total,Not stated,0.8,0.2,0.3,—,0.3,—,—,0.4,2
2024-25,Total,Total,184.3,73.9,289.8,73.9,38.2,14.3,17.1,42.4,733.7
