indigenous_status,age,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10-13 years,—,—,—,—,—,—,—,0.1,0.1
First Nations,14-17 years,23.8,1.2,26.1,12.3,1,1,—,26.1,91.4
First Nations,18+ years,13.1,5.3,1.4,0.8,0.7,—,—,1.1,22.4
First Nations,Total,36.9,6.4,27.5,13.1,1.7,1,—,27.3,113.9
Non-Indigenous,10-13 years,—,—,—,—,—,—,—,—,—
Non-Indigenous,14-17 years,10.4,7.4,5,11.3,2.3,1.6,0.7,0.5,39.2
Non-Indigenous,18+ years,15.5,29.9,0.1,0.2,0.5,—,0.5,—,46.8
Non-Indigenous,Total,25.9,37.3,5.1,11.5,2.8,1.6,1.2,0.5,86
Not stated,10-13 years,—,—,—,—,—,—,—,—,-
Not stated,14-17 years,0.3,—,—,—,—,—,—,0.4,0.6
Not stated,18+ years,0.8,—,—,—,—,—,—,—,0.8
Not stated,Total,1,—,—,—,—,—,—,0.4,1.4
Total,10-13 years,—,—,—,—,—,—,—,0.1,0.1
Total,14-17 years,34.4,8.6,31.1,23.7,3.3,2.6,0.7,26.9,131.3
Total,18+ years,29.4,35.2,1.5,1,1.2,—,0.5,1.1,70
Total,Total,63.8,43.8,32.6,24.7,4.5,2.7,1.2,28.1,201.3
