remoteness_area,nsw,vic,qld,wa,sa,tas,act,nt,australia
Major cities of Australia,14.769,4.844,12.988,26.541,18.542,. .,26.278,. .,13.669
Inner regional Australia,22.445,4.841,14.1,11.13,4.618,17.89,—,. .,14.25
Outer regional Australia,18.909,—,37.868,28.468,20.105,4.497,. .,80.245,27.711
Remote Australia,65.068,—,69.727,22.023,26.496,—,. .,176.791,64.84
Very remote Australia,185.124,. .,62.783,119.443,56.176,—,. .,156.773,111.564
