indigenous_status,10,11,12,13,14,15,16,17,10_17
First Nations,—,0.44,1.816,7.551,61.239,157.209,191.678,238.406,82.316
Non-Indigenous,—,—,—,0.438,2.467,8.69,14.004,14.117,4.959
Total,—,—,0.157,0.987,6.988,20.262,28.243,31.768,11.041
