section,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Median length of completed periods (number of days during 2024–25),First Nations,2,20,28,2,5,19,2,5,5
Median length of completed periods (number of days during 2024–25),Non-Indigenous,2,18,27,2,7,19,2,4,5
Median length of completed periods (number of days during 2024–25),Not stated,2,27,42,—,4,—,—,4,2
Median length of completed periods (number of days during 2024–25),Total,2,19,28,2,5,19,2,5,5
Median length of completed periods (number of days in total),First Nations,3,21,33,2,5,19,2,5,6
Median length of completed periods (number of days in total),Non-Indigenous,2,20,31,2,7,25,2,4,5
Median length of completed periods (number of days in total),Not stated,2,27,42,—,4,—,—,4,2
Median length of completed periods (number of days in total),Total,2,20,32,2,6,20,2,5,5
Number of completed periods of supervision,First Nations,1617,93,1266,1196,424,42,66,632,5336
Number of completed periods of supervision,Non-Indigenous,1275,557,518,670,286,93,136,27,3562
Number of completed periods of supervision,Not stated,59,2,3,—,3,—,—,4,71
Number of completed periods of supervision,Total,2951,652,1787,1866,713,135,202,663,8969
Number of young people who completed a period during the year,First Nations,781,48,690,514,185,21,31,298,2568
Number of young people who completed a period during the year,Non-Indigenous,639,296,307,255,154,44,63,9,1767
Number of young people who completed a period during the year,Not stated,48,1,3,—,3,—,—,3,58
Number of young people who completed a period during the year,Total,1468,345,1000,769,342,65,94,310,4393
