remoteness_area,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
Major cities of Australia,618299,510300,374554,234075,133014,—,33045,—,1903287,1903287
Inner regional Australia,165237,127505,115405,27362,18116,33498,47,—,487170,487170
Outer regional Australia,40222,24603,78280,20630,20390,19864,—,15234,203989,219223
Remote Australia,2785,279,7422,10287,4525,577,—,5638,25875,31513
Very remote Australia,745,—,5834,6188,1427,230,—,6320,14424,20744
