section,remoteness_area,nsw,vic,qld,wa,sa,tas,act,nt,australia
,Major cities of Australia,870,387,824,716,300,—,113,—,3211
,Inner regional Australia,435,98,321,39,21,136,—,—,1049
,Outer regional Australia,119,23,527,84,79,55,—,234,1121
,Remote Australia,24,—,98,73,19,3,—,174,392
,Very remote Australia,21,—,81,148,17,—,—,186,453
,Total under community-based supervision,1668,601,1933,1075,459,208,133,632,6709
