year,sex,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
2015-16,Male,965.1,777.1,988.3,537.1,216.7,113.5,47.6,128.5,3645.4,3773.9
2015-16,Female,243.1,147.9,294.9,106.7,45,18.6,17.2,28,873.3,901.3
2015-16,Not stated,—,—,1,0.1,—,—,—,—,1,1
2015-16,Total,1208.2,925,1284.2,643.8,261.7,132.1,64.8,156.5,4519.7,4676.2
2016-17,Male,876.4,712.8,932.3,532,214.9,98.6,50.8,138,3417.8,3555.8
2016-17,Female,233.6,139.9,306.5,107.5,52.9,24.2,15.4,33.9,879.9,913.9
2016-17,Not stated,—,—,1,—,—,—,—,—,1,1
2016-17,Total,1110.1,852.7,1239.7,639.5,267.7,122.8,66.2,171.9,4298.7,4470.7
2017-18,Male,850.8,709.6,1075.3,537.9,194.1,90.7,63.4,135.9,3521.9,3657.8
2017-18,Female,240.9,125.9,345,100.3,40.1,32.9,24.6,24.1,909.8,933.8
2017-18,Not stated,—,—,0.4,—,—,—,—,—,0.4,0.4
2017-18,Total,1091.7,835.5,1420.7,638.2,234.3,123.6,88.1,160,4432.1,4592
2018-19,Male,836.9,644.5,1273.1,517,167,106.9,53.9,159.5,3599.4,3759
2018-19,Female,267.8,121.6,415.7,121.5,33,36.8,15,22.7,1011.3,1034
2018-19,Not stated,—,0.3,0.1,0.3,—,—,—,—,0.7,0.7
2018-19,Total,1104.7,766.3,1688.9,638.8,200.1,143.7,68.8,182.2,4611.4,4793.6
2019-20,Male,811.2,608.9,1172.8,458,185.8,95.8,42.4,174.5,3374.9,3549.3
2019-20,Female,239.8,138.4,396,118.7,33.1,35,13.4,21.1,974.4,995.5
2019-20,Not stated,0.5,0.3,0.4,0.6,—,—,—,—,1.8,1.8
2019-20,Total,1051.5,747.6,1569.3,577.2,218.9,130.8,55.7,195.6,4351.1,4546.7
2020-21,Male,781.9,570.2,1044,369.7,154.7,82.9,44.7,134.3,3048.2,3182.5
2020-21,Female,202.7,117,333.3,77.2,36,26.3,15.1,16.7,807.7,824.3
2020-21,Not stated,0.7,—,—,—,—,—,—,—,0.7,0.7
2020-21,Total,985.3,687.2,1377.4,446.9,190.7,109.3,59.8,150.9,3856.6,4007.5
2021-22,Male,721.5,515.4,1005.4,364,159.2,62.6,37,169.2,2865.1,3034.3
2021-22,Female,180.6,95.3,335.9,89.9,40.6,25.4,16.5,25.2,784.3,809.5
2021-22,Not stated,1.4,0.5,0.9,—,—,—,—,—,2.8,2.8
2021-22,Total,903.6,611.3,1342.1,453.9,199.9,88,53.5,194.5,3652.2,3846.7
2022-23,Male,648.4,431.6,970.3,415.2,171.6,66.6,39.6,252.7,2743.4,2996.1
2022-23,Female,158.7,59,316.3,111.9,55.5,28.2,15.7,42.7,745.4,788.1
2022-23,Not stated,0.8,0.2,1,—,0.2,0.7,—,0.3,2.9,3.2
2022-23,Total,807.9,490.9,1287.6,527.1,227.3,95.6,55.3,295.7,3491.7,3787.4
2023-24,Male,627.3,367.8,961.5,400.5,189.4,78.3,49.7,n.a.,2674.5,n.a.
2023-24,Female,168.4,55.8,320.4,114.9,73.1,28.6,22.5,n.a.,783.7,n.a.
2023-24,Not stated,1.1,—,0.5,—,—,0.2,—,n.a.,1.8,n.a.
2023-24,Total,796.8,423.6,1282.4,515.3,262.6,107.1,72.1,n.a.,3460,n.a.
2024-25,Male,633.9,372.2,938.7,354.7,150.6,101.7,50.2,n.a.,2602.1,n.a.
2024-25,Female,173.8,47.1,323.9,90.2,52.3,43.5,20.7,n.a.,751.5,n.a.
2024-25,Not stated,1.1,—,1.2,—,0.5,2,—,n.a.,4.8,n.a.
2024-25,Total,808.9,419.4,1263.8,444.9,203.4,147.2,70.9,n.a.,3358.4,n.a.
