sex,year,10,11,12,13,14,15,16,17,10_17
Male,2020-21,0.007,0.08,0.366,1.443,4.054,7.322,10.9,13.458,4.491
Male,2021-22,0.01,0.068,0.459,1.563,4.175,7.922,11.339,14.038,4.773
Male,2022-23,0.017,0.107,0.329,1.684,4.046,7.643,10.854,14.07,4.743
Male,2023-24,0.008,0.113,0.386,1.532,4.24,6.993,10.607,13.519,4.674
Male,2024-25,0.001,0.042,0.338,1.471,3.81,7.959,11.257,12.994,4.757
Female,2020-21,-,0.007,0.079,0.351,0.716,1.215,1.022,1.112,0.542
Female,2021-22,0.002,0.005,0.124,0.398,0.751,1.043,1.487,1.221,0.61
Female,2022-23,0.002,0.006,0.093,0.247,0.759,1.267,1.294,1.436,0.626
Female,2023-24,0.002,0.003,0.079,0.252,0.742,1.231,1.272,1.302,0.611
Female,2024-25,0,0.033,0.139,0.344,0.632,1.07,1.442,1.21,0.612
Total,2020-21,0.004,0.044,0.227,0.914,2.437,4.374,6.121,7.463,2.576
Total,2021-22,0.006,0.037,0.296,0.998,2.516,4.591,6.57,7.837,2.753
Total,2022-23,0.01,0.058,0.214,0.986,2.451,4.552,6.223,7.953,2.745
Total,2023-24,0.005,0.06,0.237,0.909,2.54,4.195,6.08,7.599,2.701
Total,2024-25,0.001,0.038,0.241,0.923,2.264,4.61,6.49,7.279,2.744
