indigenous_status,age_group,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10-13 years,1.562,—,6.881,3.944,3.844,1.382,20.827,3.735,3.596
First Nations,14-17 years,36.272,16.116,73.388,39.675,38.095,13.544,67.158,66.787,47.388
First Nations,10-17 years,18.927,8.114,40.65,21.924,21.393,7.765,51.855,35.12,25.73
Non-Indigenous,10-13 years,0.051,—,0.188,0.066,0.06,0.131,—,0.133,0.073
Non-Indigenous,14-17 years,1.666,1.913,2.864,1.969,1.997,3.776,5.234,2.537,2.15
Non-Indigenous,10-17 years,0.858,0.953,1.543,1.012,1.035,1.999,3.473,1.254,1.116
Total,10-13 years,0.165,—,0.775,0.331,0.259,0.269,0.703,1.568,0.304
Total,14-17 years,4.266,2.221,9.087,4.611,4.004,4.9,7.263,30.346,5.158
Total,10-17 years,2.216,1.106,5,2.46,2.147,2.649,5.038,15.364,2.7
