sex,year,10,11,12,13,14,15,16,17,10_17
Male,2020-21,6,21,77,247,625,1102,1359,1752,5189
Male,2021-22,5,17,79,234,612,1013,1408,1594,4962
Male,2022-23,7,35,84,265,636,1066,1330,1615,5038
Male,2023-24,4,15,84,294,615,1153,1338,1548,5051
Male,2024-25,2,16,91,261,659,1136,1337,1656,5158
Female,2020-21,—,2,23,93,237,347,369,376,1447
Female,2021-22,—,5,40,101,232,338,364,326,1406
Female,2022-23,—,5,42,113,236,381,354,341,1472
Female,2023-24,1,4,29,102,274,362,439,341,1552
Female,2024-25,1,1,30,92,246,396,388,386,1540
Not stated,2020-21,—,—,—,—,—,1,—,—,1
Not stated,2021-22,—,—,—,—,—,1,3,1,5
Not stated,2022-23,—,1,—,—,2,1,3,1,8
Not stated,2023-24,—,—,—,—,1,—,2,4,7
Not stated,2024-25,—,—,1,—,—,2,3,5,11
Total,2020-21,6,23,100,340,862,1450,1728,2128,6637
Total,2021-22,5,22,119,335,844,1352,1775,1921,6373
Total,2022-23,7,41,126,378,874,1448,1687,1957,6518
Total,2023-24,5,19,113,396,890,1515,1779,1893,6610
Total,2024-25,3,17,122,353,905,1534,1728,2047,6709
