legal_status,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Police-referred pre-court detention,First Nations,2.2,—,0.5,3.5,2.6,—,1.8,—,10.7
Police-referred pre-court detention,Non-Indigenous,2.3,—,0.3,2.2,2.6,—,3.5,—,10.8
Police-referred pre-court detention,Not stated,0.1,—,—,—,—,—,—,—,0.1
Police-referred pre-court detention,Total,4.6,—,0.8,5.7,5.3,—,5.3,—,21.7
Remand,First Nations,101.3,11.8,192.2,30.8,18,4.9,4.8,43.1,406.9
Remand,Non-Indigenous,62.3,65.4,82.7,15.8,15.5,8.5,7.8,2,260.1
Remand,Not stated,0.5,0.2,0.3,—,0.4,—,—,1.4,2.7
Remand,Total,164.1,77.4,275.2,46.6,33.9,13.4,12.7,46.5,669.7
Unsentenced,First Nations,103.2,11.8,192.5,33.6,19.9,4.9,6.7,43.1,415.7
Unsentenced,Non-Indigenous,64.3,65.4,82.9,17.4,17.8,8.5,11.3,2,269.6
Unsentenced,Not stated,0.6,0.2,0.3,—,0.4,—,—,1.4,2.8
Unsentenced,Total,168.1,77.4,275.6,51,38.1,13.4,18,46.5,688.1
Sentenced,First Nations,36.9,6.4,27.5,13.1,1.7,1,—,27.3,113.9
Sentenced,Non-Indigenous,25.9,37.3,5.1,11.5,2.8,1.6,1.2,0.5,86
Sentenced,Not stated,1,—,—,—,—,—,—,0.4,1.4
Sentenced,Total,63.8,43.8,32.6,24.7,4.5,2.7,1.2,28.1,201.3
Total,First Nations,139.7,19,214.5,46.6,21.5,5.9,6.7,43.1,496.9
Total,Non-Indigenous,90,109.4,85.9,28.9,20.1,9.9,12.5,2,358.8
Total,Not stated,1.6,0.2,0.3,—,0.4,—,—,1.4,3.8
Total,Total,231.3,128.6,300.7,75.5,42,15.8,19.1,46.5,859.5
