indigenous_status,10,11,12,13,14,15,16,17,10_17
First Nations,1.882,1.921,15.571,40.413,106.46,197.735,224.921,237.504,103.889
Non-Indigenous,—,—,0.138,1.816,4.554,8.944,11.894,16.439,5.433
Total,0.131,0.131,1.177,4.471,11.616,22.221,26.916,31.943,12.252
