indigenous_status,10,11,12,13,14,15,16,17,10_17
First Nations,—,0.117,3.687,11.604,15.4,33.593,64.174,38.819,21.393
Non-Indigenous,—,—,—,0.234,0.743,1.463,2.586,3.169,1.035
Total,—,—,0.193,0.832,1.546,3.244,5.969,5.211,2.147
