indigenous_status,age_group,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10-13 years,214,8,292,235,71,7,13,87,927
First Nations,14-17 years,591,48,445,302,115,17,21,232,1771
First Nations,18+ years,7,7,1,—,1,—,—,—,16
First Nations,Total,812,63,738,537,187,24,34,319,2714
Non-Indigenous,10-13 years,114,29,71,53,27,9,13,2,318
Non-Indigenous,14-17 years,573,311,264,219,128,37,52,8,1592
Non-Indigenous,18+ years,12,37,1,—,6,—,—,—,56
Non-Indigenous,Total,699,377,336,272,161,46,65,10,1966
Not stated,10-13 years,9,—,—,—,—,—,—,—,9
Not stated,14-17 years,40,2,3,—,3,—,—,4,52
Not stated,18+ years,1,—,—,—,—,—,—,—,1
Not stated,Total,50,2,3,—,3,—,—,4,62
Total,10-13 years,337,37,363,288,98,16,26,89,1254
Total,14-17 years,1204,361,712,521,246,54,73,244,3415
Total,18+ years,20,44,2,—,7,—,—,—,73
Total,Total,1561,442,1077,809,351,70,99,333,4742
