sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Male,First Nations,457.8,85.2,736.8,247.1,97,37.9,20.2,n.a.,1682
Male,Non-Indigenous,364.2,406.7,450,172.6,83.8,76,46.6,n.a.,1599.9
Male,Not stated,22.7,0.6,4.3,—,3,0.5,—,n.a.,31
Male,Total,844.7,492.5,1191.1,419.6,183.8,114.4,66.8,n.a.,3312.9
Female,First Nations,110.1,11.9,257.7,56.7,35.4,21.4,7.1,n.a.,500.3
Female,Non-Indigenous,73.1,40.6,106.4,39.8,23.4,24.6,15.4,n.a.,323.4
Female,Not stated,5.4,—,0.3,—,—,0.1,—,n.a.,5.8
Female,Total,188.7,52.6,364.3,96.5,58.9,46.1,22.5,n.a.,829.5
Not stated,First Nations,0.4,—,0.1,—,—,—,—,n.a.,0.5
Not stated,Non-Indigenous,0.7,—,1.1,—,—,1.9,—,n.a.,3.7
Not stated,Not stated,—,—,—,—,0.5,0.1,—,n.a.,0.6
Not stated,Total,1.1,—,1.2,—,0.5,2,—,n.a.,4.9
Total,First Nations,568.3,97.1,994.6,303.7,132.4,59.3,27.4,n.a.,2182.8
Total,Non-Indigenous,438.1,447.3,557.5,212.4,107.3,102.5,61.9,n.a.,1927
Total,Not stated,28.2,0.6,4.5,—,3.5,0.7,—,n.a.,37.5
Total,Total,1034.5,545,1556.6,516.2,243.1,162.5,89.3,n.a.,4147.3
