year,sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
2020-21,Male,First Nations,329.6,86.5,594.3,203.4,62.9,28.8,8,121.7,1313.6,1435.3
2020-21,Male,Non-Indigenous,419,483.7,443.7,166.3,91.2,49.6,36.7,7.3,1690.1,1697.4
2020-21,Male,Not stated,33.3,—,6,—,0.7,4.5,—,5.3,44.5,49.8
2020-21,Male,Total,781.9,570.2,1044,369.7,154.7,82.9,44.7,134.3,3048.2,3182.5
2020-21,Female,First Nations,97.1,18.2,222.8,47.6,21.2,7.8,1.8,14.8,416.4,431.2
2020-21,Female,Non-Indigenous,97.6,98.7,110.1,29.6,14.2,18.3,13.3,1.9,381.9,383.8
2020-21,Female,Not stated,8,0.1,0.4,—,0.6,0.2,—,—,9.4,9.4
2020-21,Female,Total,202.7,117,333.3,77.2,36,26.3,15.1,16.7,807.7,824.3
2020-21,Not stated,First Nations,0.7,—,—,—,—,—,—,—,0.7,0.7
2020-21,Not stated,Non-Indigenous,—,—,—,—,—,—,—,—,—,—
2020-21,Not stated,Not stated,—,—,—,—,—,—,—,—,—,—
2020-21,Not stated,Total,0.7,—,—,—,—,—,—,—,0.7,0.7
2020-21,Total,First Nations,427.4,104.7,817.1,251,84.1,36.6,9.8,136.4,1730.7,1867.1
2020-21,Total,Non-Indigenous,516.6,582.4,553.8,195.9,105.4,67.9,50,9.2,2072,2081.2
2020-21,Total,Not stated,41.3,0.1,6.5,—,1.2,4.8,—,5.3,53.9,59.2
2020-21,Total,Total,985.3,687.2,1377.4,446.9,190.7,109.3,59.8,150.9,3856.6,4007.5
2021-22,Male,First Nations,319.8,74.7,574.8,213.7,65.3,24.7,8,152.4,1281.1,1433.5
2021-22,Male,Non-Indigenous,376.3,440.7,426.7,150.2,93,37.6,29,10.8,1553.6,1564.4
2021-22,Male,Not stated,25.4,—,3.8,—,0.9,0.3,—,6.1,30.4,36.5
2021-22,Male,Total,721.5,515.4,1005.4,364,159.2,62.6,37,169.2,2865.1,3034.3
2021-22,Female,First Nations,84.4,15.1,229.3,55.7,21.5,7.5,1.7,23.7,415.2,438.9
2021-22,Female,Non-Indigenous,88.3,80.1,105.6,34.2,18.5,17.9,14.8,0.9,359.4,360.3
2021-22,Female,Not stated,7.9,—,1,—,0.7,—,—,0.7,9.7,10.3
2021-22,Female,Total,180.6,95.3,335.9,89.9,40.6,25.4,16.5,25.2,784.3,809.5
2021-22,Not stated,First Nations,0.6,0.5,0.9,—,—,—,—,—,2,2
2021-22,Not stated,Non-Indigenous,0.8,—,—,—,—,—,—,—,0.8,0.8
2021-22,Not stated,Not stated,—,—,—,—,—,—,—,—,—,—
2021-22,Not stated,Total,1.4,0.5,0.9,—,—,—,—,—,2.8,2.8
2021-22,Total,First Nations,404.8,90.4,805,269.5,86.8,32.2,9.8,176.1,1698.3,1874.4
2021-22,Total,Non-Indigenous,465.5,520.9,532.3,184.4,111.5,55.5,43.8,11.7,1913.8,1925.5
2021-22,Total,Not stated,33.4,—,4.8,—,1.6,0.3,—,6.7,40.1,46.8
2021-22,Total,Total,903.6,611.3,1342.1,453.9,199.9,88,53.5,194.5,3652.2,3846.7
2022-23,Male,First Nations,333.6,74.5,566.5,256.9,70.5,22.6,8.7,230.4,1333.4,1563.8
2022-23,Male,Non-Indigenous,289.4,357.1,401.1,158.2,99.4,43.9,30.1,12.6,1379.3,1392
2022-23,Male,Not stated,25.5,—,2.7,—,1.6,0.1,0.8,9.6,30.7,40.3
2022-23,Male,Total,648.4,431.6,970.3,415.2,171.6,66.6,39.6,252.7,2743.4,2996.1
2022-23,Female,First Nations,81.2,11,212.9,75.5,30.7,6.8,1.4,41.2,419.5,460.7
2022-23,Female,Non-Indigenous,71.2,48,103.2,36.4,24.8,20.9,14.3,0.8,318.9,319.6
2022-23,Female,Not stated,6.3,—,0.2,—,—,0.6,—,0.7,7.1,7.8
2022-23,Female,Total,158.7,59,316.3,111.9,55.5,28.2,15.7,42.7,745.4,788.1
2022-23,Not stated,First Nations,—,0.2,1,—,—,—,—,—,1.2,1.2
2022-23,Not stated,Non-Indigenous,0.8,—,—,—,0.2,0.7,—,—,1.7,1.7
2022-23,Not stated,Not stated,—,—,—,—,—,—,—,0.3,—,0.3
2022-23,Not stated,Total,0.8,0.2,1,—,0.2,0.7,—,0.3,2.9,3.2
2022-23,Total,First Nations,414.8,85.7,780.4,332.4,101.2,29.4,10.1,271.7,1754.1,2025.8
2022-23,Total,Non-Indigenous,361.4,405.2,504.3,194.7,124.4,65.6,44.4,13.4,1699.9,1713.3
2022-23,Total,Not stated,31.8,—,2.9,—,1.6,0.6,0.8,10.7,37.7,48.4
2022-23,Total,Total,807.9,490.9,1287.6,527.1,227.3,95.6,55.3,295.7,3491.7,3787.4
2023-24,Male,First Nations,333.9,63,565.7,242.1,92.3,25.5,12.6,n.a.,1335.2,n.a.
2023-24,Male,Non-Indigenous,271.4,304.8,393.7,158.3,96.5,52.5,36.7,n.a.,1313.9,n.a.
2023-24,Male,Not stated,22,—,2.1,—,0.6,0.4,0.3,n.a.,25.4,n.a.
2023-24,Male,Total,627.3,367.8,961.5,400.5,189.4,78.3,49.7,n.a.,2674.5,n.a.
2023-24,Female,First Nations,92.6,7.3,223.5,70.7,44.6,11.9,4.3,n.a.,454.9,n.a.
2023-24,Female,Non-Indigenous,69.9,48.6,96.5,44.2,28.5,16.6,18.1,n.a.,322.4,n.a.
2023-24,Female,Not stated,5.9,—,0.4,—,—,—,0.1,n.a.,6.4,n.a.
2023-24,Female,Total,168.4,55.8,320.4,114.9,73.1,28.6,22.5,n.a.,783.7,n.a.
2023-24,Not stated,First Nations,0.7,—,0.5,—,—,—,—,n.a.,1.3,n.a.
2023-24,Not stated,Non-Indigenous,0.3,—,—,—,—,0.2,—,n.a.,0.5,n.a.
2023-24,Not stated,Not stated,—,—,—,—,—,—,—,n.a.,—,n.a.
2023-24,Not stated,Total,1.1,—,0.5,—,—,0.2,—,n.a.,1.8,n.a.
2023-24,Total,First Nations,427.3,70.2,789.7,312.8,136.9,37.4,17,n.a.,1791.3,n.a.
2023-24,Total,Non-Indigenous,341.6,353.4,490.2,202.5,125,69.3,54.8,n.a.,1636.8,n.a.
2023-24,Total,Not stated,27.9,—,2.5,—,0.6,0.4,0.4,n.a.,31.8,n.a.
2023-24,Total,Total,796.8,423.6,1282.4,515.3,262.6,107.1,72.1,n.a.,3460,n.a.
2024-25,Male,First Nations,329.9,68.9,557,205.9,80.5,33.1,14.9,n.a.,1290.1,n.a.
2024-25,Male,Non-Indigenous,282.7,302.9,377.6,148.8,67.5,68.2,35.4,n.a.,1283.1,n.a.
2024-25,Male,Not stated,21.3,0.4,4.1,—,2.6,0.5,—,n.a.,28.8,n.a.
2024-25,Male,Total,633.9,372.2,938.7,354.7,150.6,101.7,50.2,n.a.,2602.1,n.a.
2024-25,Female,First Nations,101.8,9.6,228.6,53.7,31.8,20.5,6.1,n.a.,452.1,n.a.
2024-25,Female,Non-Indigenous,66.7,37.5,95.1,36.6,20.5,22.9,14.6,n.a.,293.8,n.a.
2024-25,Female,Not stated,5.3,—,0.2,—,—,0.1,—,n.a.,5.6,n.a.
2024-25,Female,Total,173.8,47.1,323.9,90.2,52.3,43.5,20.7,n.a.,751.5,n.a.
2024-25,Not stated,First Nations,0.4,—,0.1,—,—,—,—,n.a.,0.5,n.a.
2024-25,Not stated,Non-Indigenous,0.7,—,1,—,—,1.9,—,n.a.,3.7,n.a.
2024-25,Not stated,Not stated,—,—,—,—,0.5,0.1,—,n.a.,0.6,n.a.
2024-25,Not stated,Total,1.1,—,1.2,—,0.5,2,—,n.a.,4.8,n.a.
2024-25,Total,First Nations,432.1,78.6,785.7,259.5,112.3,53.6,20.9,n.a.,1742.7,n.a.
2024-25,Total,Non-Indigenous,350.2,340.4,473.8,185.4,88.1,92.9,50,n.a.,1580.6,n.a.
2024-25,Total,Not stated,26.6,0.4,4.3,—,3.1,0.7,—,n.a.,35.1,n.a.
2024-25,Total,Total,808.9,419.4,1263.8,444.9,203.4,147.2,70.9,n.a.,3358.4,n.a.
