legal_status,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Police—referred pre—court detention,First Nations,2.1,—,0.5,3.5,2.6,—,1.8,—,10.7
Police—referred pre—court detention,Non—Indigenous,2.2,—,0.3,2.2,2,—,3.5,—,10
Police—referred pre—court detention,Not stated,0.1,—,—,—,—,—,—,—,0.1
Police—referred pre—court detention,Total,4.4,—,0.8,5.7,4.6,—,5.3,—,20.8
Remand,First Nations,92.1,10.2,186.8,30.6,17.7,3.8,3.8,40,384.8
Remand,Non—Indigenous,54,53.2,78.6,15.5,13.9,8.1,7.2,2,232.5
Remand,Not stated,0.5,0.2,0.3,—,0.3,—,—,0.4,1.7
Remand,Total,146.6,63.6,265.6,46,31.9,11.9,11.1,42.4,619
Unsentenced,First Nations,94,10.2,187.1,33.4,19.5,3.8,5.7,40,393.5
Unsentenced,Non—Indigenous,55.8,53.2,78.8,17,15.6,8.1,10.7,2,241.3
Unsentenced,Not stated,0.6,0.2,0.3,—,0.3,—,—,0.4,1.8
Unsentenced,Total,150.4,63.6,266.1,50.4,35.5,11.9,16.4,42.4,636.6
Sentenced,First Nations,23.8,1.2,26.1,12.3,1,1,—,26.1,91.5
Sentenced,Non—Indigenous,10.4,7.4,5,11.3,2.3,1.6,0.7,0.5,39.2
Sentenced,Not stated,0.3,—,—,—,—,—,—,0.4,0.6
Sentenced,Total,34.4,8.6,31.1,23.7,3.3,2.6,0.7,27,131.3
Total,First Nations,117.4,11.3,207.7,45.6,20.4,4.7,5.7,40,452.8
Total,Non—Indigenous,66.1,62.3,81.8,28.3,17.4,9.6,11.4,2,278.9
Total,Not stated,0.8,0.2,0.3,—,0.3,—,—,0.4,2
Total,Total,184.3,73.9,289.8,73.9,38.2,14.3,17.1,42.4,733.7
