sex,remoteness_area,first_nations,non_indigenous,not_stated,total
Male,Major cities of Australia,1095,1989,35,3119
Male,Inner regional Australia,558,433,17,1008
Male,Outer regional Australia,844,197,13,1054
Male,Remote Australia,372,25,6,403
Male,Very remote Australia,515,8,3,526
Female,Major cities of Australia,401,452,4,857
Female,Inner regional Australia,159,111,6,276
Female,Outer regional Australia,295,36,5,336
Female,Remote Australia,106,2,—,108
Female,Very remote Australia,79,3,—,82
Not stated,Major cities of Australia,2,2,—,3
Not stated,Inner regional Australia,—,4,—,4
Not stated,Outer regional Australia,—,—,3,3
Not stated,Remote Australia,—,—,—,—
Not stated,Very remote Australia,—,—,1,1
Total,Major cities of Australia,1498,2443,38,3979
Total,Inner regional Australia,717,548,23,1289
Total,Outer regional Australia,1139,233,21,1393
Total,Remote Australia,478,26,6,510
Total,Very remote Australia,594,11,4,609
Total,Total under community-based supervision,4684,3477,140,8301
