year,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
2020–21,First Nations,33.1,63.4,84.2,51,43.8,71.3,65.5,62.5,57.8
2020–21,Non-Indigenous,37.2,66.1,74.3,23.4,26.4,52.4,63.9,41.1,49.3
2020–21,Not stated,9,—,4.3,—,2,—,1.5,40.3,9.8
2020–21,Total,34.8,65.8,80,41.3,34.4,58.7,62.8,61.1,52.8
2021–22,First Nations,39.7,58.8,90.9,44.4,38,74.8,56.3,58.4,58.9
2021–22,Non-Indigenous,38.9,66.4,90,24.7,37.4,47.6,42.4,67.5,53.1
2021–22,Not stated,26.2,—,—,—,—,—,1,37,26.7
2021–22,Total,39,65.1,90.6,38.3,37.7,57.5,44.9,58.4,56.1
2022–23,First Nations,39.2,60.7,95.9,34.5,34.1,86.6,25.3,63.6,57.9
2022–23,Non-Indigenous,34.5,73.3,98.6,19.9,34,68.1,38.8,69.7,51.5
2022–23,Not stated,5.7,—,4,—,—,—,10.6,68.6,16.6
2022–23,Total,36.2,71.2,96.6,29.4,34.1,73.5,33.5,63.9,54.8
2023–24,First Nations,47.8,71.5,98.2,28.4,34.4,63.3,48.4,53.7,59
2023–24,Non-Indigenous,34.9,74.2,89.3,20.8,38.1,61.8,38.7,75.3,50.6
2023–24,Not stated,4.3,—,4,—,—,—,1.7,96.4,15.1
2023–24,Total,41.3,73.8,95.2,25.6,36,62.3,41.1,54.9,55.2
2024–25,First Nations,47.6,81.1,96.3,23.8,40.6,77.4,69.7,49.5,57.2
2024–25,Non-Indigenous,35.2,75.3,90.4,25.6,41.6,68.8,62.5,74.3,53.2
2024–25,Not stated,4.5,41.5,31,—,46.3,—,—,124,16.9
2024–25,Total,40.7,76,94.3,24.4,41.1,71.7,65,51.2,55
