no_of_completed_supervision_periods,first_nations,non_indigenous,not_stated,total
1,2242,2137,84,4463
2,402,279,6,687
3,109,64,1,174
4,56,39,—,95
5,25,16,—,41
6+,38,23,—,61
Total,2872,2558,91,5521
