indigenous_status,10,11,12,13,14,15,16,17,10_17
First Nations,—,—,0.849,2.853,47.392,128.935,147.271,184.056,63.941
Non-Indigenous,—,—,—,0.253,1.867,7.062,11.973,11.916,4.128
Total,—,—,0.073,0.461,5.397,16.632,23.019,25.645,8.892
