year,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
2015-16,First Nations,704.5,184.2,819.1,506.5,158.1,32.8,20.5,179.2,2425.7,2604.9
2015-16,Non-Indigenous,744.1,902.8,638.1,270.1,157.5,106.4,52.5,12.5,2871.4,2884
2015-16,Not stated,51.3,1.4,9.2,—,0.6,1.9,—,14.3,64.4,78.8
2015-16,Total,1499.9,1088.4,1466.4,776.6,316.2,141.2,73,206,5361.6,5567.6
2016-17,First Nations,651.3,178.7,801.6,517,169.8,28.5,16.8,184.8,2363.7,2548.5
2016-17,Non-Indigenous,683.4,857.3,607,263.7,147.8,100.1,60.1,10.1,2719.4,2729.6
2016-17,Not stated,46.6,1.6,6.3,—,1.3,4.9,—,14.5,60.6,75.1
2016-17,Total,1381.4,1037.6,1414.9,780.7,318.9,133.5,76.9,209.4,5143.8,5353.2
2017-18,First Nations,626.9,165,933.1,514,140.6,37.1,26.6,179.1,2443.2,2622.3
2017-18,Non-Indigenous,687.4,868.3,679.4,271.9,138.7,92.2,75.9,10.2,2813.9,2824.1
2017-18,Not stated,61.7,1.4,8.7,—,1.6,5.5,—,9.8,78.9,88.7
2017-18,Total,1376,1034.7,1621.2,785.9,280.9,134.8,102.5,199.1,5336,5535.1
2018-19,First Nations,610.4,151.7,1146.5,472,117.5,42.8,18.4,197.6,2559.3,2756.9
2018-19,Non-Indigenous,713.3,801.6,778.6,300.4,121.2,99.8,60.1,9.7,2875,2884.7
2018-19,Not stated,43.8,0.1,7.8,—,1,12.3,—,9.7,65,74.7
2018-19,Total,1367.5,953.4,1933,772.4,239.7,154.8,78.5,216.9,5499.3,5716.2
2019-20,First Nations,586.5,132.1,1057,407.5,122.2,46.7,16.4,201,2368.4,2569.4
2019-20,Non-Indigenous,669.5,794.9,708.5,276.5,131.3,88.3,54.8,11.9,2723.8,2735.7
2019-20,Not stated,45.2,—,6.9,—,1.6,10.7,—,6,64.5,70.4
2019-20,Total,1301.3,926.9,1772.4,684.1,255.1,145.7,71.2,218.9,5156.6,5375.5
2020-21,First Nations,508.1,124.3,967.5,329.4,99.4,40.2,12.3,166.4,2081.3,2247.6
2020-21,Non-Indigenous,633.9,721.4,631.9,219.7,116.7,73.5,56.4,10.5,2453.6,2464
2020-21,Not stated,42.5,0.1,6.9,—,1.3,4.8,—,5.7,55.6,61.3
2020-21,Total,1184.6,845.8,1606.4,549.1,217.4,118.4,68.7,182.5,4590.4,4772.9
2021-22,First Nations,489.4,107.9,988.7,356.7,103.1,36.2,12.6,224.2,2094.7,2318.9
2021-22,Non-Indigenous,563.1,620.7,628.3,210.6,127.3,60.4,52.2,13.6,2262.5,2276.2
2021-22,Not stated,35.6,—,4.8,—,1.6,0.3,—,7.3,42.3,49.7
2021-22,Total,1088.2,728.6,1621.9,567.3,232,96.9,64.8,245.2,4399.6,4644.7
2022-23,First Nations,520,100.3,991.4,401.1,118.1,33.7,14.5,318.6,2179.1,2497.7
2022-23,Non-Indigenous,449.9,495.1,594.7,219.8,138.6,74.4,56.7,14.9,2029.3,2044.2
2022-23,Not stated,32.8,—,2.9,—,1.6,0.6,1.4,12.5,39.3,51.8
2022-23,Total,1002.6,595.4,1589,621,258.3,108.8,72.6,346,4247.7,4593.7
2023-24,First Nations,555.9,83.7,1010.2,369.7,153.1,42.8,22.1,n.a.,2237.6,n.a.
2023-24,Non-Indigenous,424.1,430.6,580.2,228.5,140.3,79.7,64.9,n.a.,1948.4,n.a.
2023-24,Not stated,28.3,—,2.5,—,0.6,0.4,0.4,n.a.,32.2,n.a.
2023-24,Total,1008.3,514.4,1592.9,598.2,294.1,122.9,87.4,n.a.,4218.2,n.a.
2024-25,First Nations,568.3,97.1,994.6,303.7,132.4,59.3,27.4,n.a.,2182.8,n.a.
2024-25,Non-Indigenous,438.1,447.3,557.5,212.4,107.3,102.5,61.9,n.a.,1927,n.a.
2024-25,Not stated,28.2,0.6,4.5,—,3.5,0.7,—,n.a.,37.5,n.a.
2024-25,Total,1034.5,545,1556.6,516.2,243.1,162.5,89.3,n.a.,4147.3,n.a.
