year,order_type,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
2020-21,Home detention bail [unsentenced community-based orders],—,—,—,—,—,—,—,—,—,—
2020-21,Supervised or conditional bail [unsentenced community-based orders],655,2256,936,665,666,51,170,628,5399,6027
2020-21,Other unsentenced community-based supervision [unsentenced community-based orders],3,577,—,—,—,4,—,—,584,584
2020-21,Sub-total: unsentenced community-based orders,658,2833,936,665,666,55,170,628,5983,6611
2020-21,Probation and similar [sentenced community-based orders],7678,1180,3927,1185,n.p.,185,n.p.,179,14409,14588
2020-21,Suspended detention [sentenced community-based orders],212,—,453,298,n.p.,40,n.p.,251,1087,1338
2020-21,Home detention [sentenced community-based orders],—,—,—,—,3,—,—,—,3,3
2020-21,Parole or supervised release [sentenced community-based orders],402,215,328,130,2,17,—,17,1094,1111
2020-21,Sentenced other [sentenced community-based orders],—,—,—,5,10,—,—,—,15,15
2020-21,Community service [sentenced community-based orders],198,—,1096,23,180,115,—,49,1612,1661
2020-21,Sub-total: sentenced community-based orders,8490,1395,5804,1641,385,357,148,496,18220,18716
2020-21,Other - other type of legal arrangements [other orders],32,—,—,—,n.p.,—,n.p.,171,39,210
2020-21,Total: Community-based supervised orders,9180,4228,6740,2306,1057,412,319,1295,24242,25537
2020-21,Police-referred detention [unsentenced detention orders],2613,—,983,715,422,—,149,—,4882,4882
2020-21,Remand [unsentenced detention orders],10348,3386,6246,968,480,215,181,5587,21824,27411
2020-21,Sub-total: unsentenced detention orders,12961,3386,7229,1683,902,215,330,5587,26706,32293
2020-21,Sentenced detention [sentenced detention orders],1229,491,723,216,48,28,60,870,2795,3665
2020-21,Total: Detention orders,14190,3877,7952,1899,950,243,390,6457,29501,35958
2020-21,All orders,23370,8105,14692,4205,2007,655,709,7752,53743,61495
2021-22,Home detention bail [unsentenced community-based orders],—,—,—,—,—,—,—,—,—,—
2021-22,Supervised or conditional bail [unsentenced community-based orders],n.p.,2037,1012,810,889,n.p.,217,1149,5541,6690
2021-22,Other unsentenced community-based supervision [unsentenced community-based orders],n.p.,454,—,—,—,n.p.,—,—,459,459
2021-22,Sub-total: unsentenced community-based orders,527,2491,1012,810,889,54,217,1149,6000,7149
2021-22,Probation and similar [sentenced community-based orders],6496,927,3990,1266,143,135,82,365,13039,13404
2021-22,Suspended detention [sentenced community-based orders],183,—,510,283,61,49,32,381,1118,1499
2021-22,Home detention [sentenced community-based orders],—,—,—,—,—,—,—,1,—,1
2021-22,Parole or supervised release [sentenced community-based orders],270,148,386,172,4,10,—,2,990,992
2021-22,Sentenced other [sentenced community-based orders],—,—,—,7,23,—,—,—,30,30
2021-22,Community service [sentenced community-based orders],141,—,1002,19,195,100,—,95,1457,1552
2021-22,Sub-total: sentenced community-based orders,7090,1075,5888,1747,426,294,114,844,16634,17478
2021-22,Other - other type of legal arrangements [other orders],33,—,—,—,6,—,4,228,43,271
2021-22,Total: Community-based supervised orders,7650,3566,6900,2557,1321,348,335,2221,22677,24898
2021-22,Police-referred detention [unsentenced detention orders],2144,—,520,915,527,—,141,—,4247,4247
2021-22,Remand [unsentenced detention orders],10577,2714,7094,1252,654,251,248,8842,22790,31632
2021-22,Sub-total: unsentenced detention orders,12721,2714,7614,2167,1181,251,389,8842,27037,35879
2021-22,Sentenced detention [sentenced detention orders],1060,338,842,264,67,36,55,1170,2662,3832
2021-22,Total: Detention orders,13781,3052,8456,2431,1248,287,444,10012,29699,39711
2021-22,All orders,21431,6618,15356,4988,2569,635,779,12233,52376,64609
