number_of_completed_periods,first_nations,non_indigenous,not_stated,total
1,1314,973,48,2335
2,613,375,7,995
3,283,195,3,481
4,148,93,—,241
5,83,50,—,133
6+,127,81,—,208
Total,2568,1767,58,4393
