sex,indigenous_status,10,11,12,13,14,15,16,17,10_17,18plus,total
Male,First Nations,0.5,3.2,20.1,55.4,150.7,301.2,390,441.2,1362.3,319.6,1682
Male,Non-Indigenous,0.1,—,1.6,24.1,86.2,226.1,355.4,407.4,1100.9,499,1599.9
Male,Not stated,—,—,—,0.2,1.2,5.5,9.6,10.8,27.2,3.8,31
Male,Total,0.6,3.3,21.7,79.7,238,532.8,755,859.3,2490.5,822.4,3312.9
Female,First Nations,—,0.1,6.6,19.9,56,113.2,123.7,110.5,430.1,70.2,500.3
Female,Non-Indigenous,0.1,0.8,1.4,7.4,22.9,59.9,76.8,77.8,247.1,76.3,323.4
Female,Not stated,—,—,0.1,—,0.8,0.8,2,2.1,5.8,—,5.8
Female,Total,0.1,0.9,8.2,27.3,79.8,173.8,202.5,190.4,683,146.5,829.5
Not stated,First Nations,—,—,—,—,—,—,0.4,—,0.4,0.1,0.5
Not stated,Non-Indigenous,—,—,—,—,—,0.2,1,1.1,2.3,1.4,3.7
Not stated,Not stated,—,—,—,—,—,0.5,—,0.1,0.6,—,0.6
Not stated,Total,—,—,—,—,—,0.7,1.4,1.3,3.3,1.6,4.9
Total,First Nations,0.5,3.3,26.7,75.3,206.7,414.4,514.1,551.7,1792.8,389.9,2182.8
Total,Non-Indigenous,0.2,0.8,3,31.5,109.1,286.1,433.2,486.3,1350.3,576.7,1927
Total,Not stated,—,—,0.1,0.2,2,6.7,11.6,13,33.7,3.8,37.5
Total,Total,0.7,4.2,29.9,107.1,317.8,707.3,958.9,1051,3176.8,970.5,4147.3
