indigenous_status,age_group,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10–13 years,0.93,0.565,20.133,14.924,12.43,5.442,40.519,n.a.,9.612
First Nations,14–17 years,126.88,59.416,206.977,191.719,186.521,114.32,194.936,n.a.,157.906
First Nations,10–17 years,63.941,30.193,115.002,103.889,101.63,62.59,143.934,n.a.,84.646
Non-Indigenous,10–13 years,0.066,—,0.543,0.488,0.142,0.567,0.236,n.a.,0.22
Non-Indigenous,14–17 years,8.189,5.715,9.474,10.439,8.067,23.01,14.489,n.a.,8.466
Non-Indigenous,10–17 years,4.128,2.849,5.064,5.433,4.133,12.07,9.649,n.a.,4.365
Total,10–13 years,0.134,—,2.26,1.476,0.791,1.149,1.504,n.a.,0.803
Total,14–17 years,17.646,6.865,27.004,23.14,18.063,33.627,20.403,n.a.,18.057
Total,10–17 years,8.892,3.426,14.79,12.252,9.497,17.84,13.991,n.a.,9.479
