year,sex,nsw,vic,qld,wa,sa,tas,act,nt,australia
2015-16,Male,1828,1081,1824,1237,402,122,100,220,6814
2015-16,Female,452,253,572,261,100,27,33,60,1758
2015-16,Not stated,—,—,1,1,—,—,—,—,2
2015-16,Total,2280,1334,2397,1499,502,149,133,280,8574
2016-17,Male,1696,1000,1722,1205,384,131,98,225,6461
2016-17,Female,437,227,574,260,107,43,29,55,1732
2016-17,Not stated,—,—,—,—,—,—,—,—,—
2016-17,Total,2133,1227,2296,1465,491,174,127,280,8193
2017-18,Male,1600,940,1902,1176,356,133,105,206,6418
2017-18,Female,459,215,622,271,90,50,39,36,1782
2017-18,Not stated,—,—,1,—,—,—,—,—,1
2017-18,Total,2059,1155,2525,1447,446,183,144,242,8201
2018-19,Male,1605,859,1924,1136,323,150,100,231,6328
2018-19,Female,484,231,666,305,68,54,35,42,1885
2018-19,Not stated,—,1,2,1,—,—,—,—,4
2018-19,Total,2089,1091,2592,1442,391,204,135,273,8217
2019-20,Male,1543,819,1548,1031,314,140,89,218,5702
2019-20,Female,464,222,590,272,69,53,33,38,1741
2019-20,Not stated,1,1,1,1,—,—,—,—,4
2019-20,Total,2008,1042,2139,1304,383,193,122,256,7447
2020-21,Male,1523,678,1461,851,288,120,74,194,5189
2020-21,Female,395,156,499,213,75,47,33,29,1447
2020-21,Not stated,1,—,—,—,—,—,—,—,1
2020-21,Total,1919,834,1960,1064,363,167,107,223,6637
2021-22,Male,1420,557,1446,859,289,88,64,239,4962
2021-22,Female,349,113,515,233,76,40,33,47,1406
2021-22,Not stated,3,1,1,—,—,—,—,—,5
2021-22,Total,1772,671,1962,1092,365,128,97,286,6373
2022-23,Male,1324,497,1446,935,339,100,76,321,5038
2022-23,Female,338,84,498,277,130,44,33,68,1472
2022-23,Not stated,3,1,1,—,1,—,—,2,8
2022-23,Total,1665,582,1945,1212,470,144,109,391,6518
2023-24,Male,1283,455,1444,894,346,119,91,419,5051
2023-24,Female,344,77,515,283,144,46,45,98,1552
2023-24,Not stated,2,—,2,—,—,2,—,1,7
2023-24,Total,1629,532,1961,1177,490,167,136,518,6610
2024-25,Male,1317,517,1421,838,331,143,96,495,5158
2024-25,Female,349,84,509,236,127,62,37,136,1540
2024-25,Not stated,2,—,3,1,1,3,—,1,11
2024-25,Total,1668,601,1933,1075,459,208,133,632,6709
