year,indigenous_staus,nsw,vic,qld,wa,sa,tas,act,nt,australia
2015-16,First Nations,743,110,543,546,207,n.p.,n.p.,252,2433
2015-16,Non-Indigenous,816,571,316,312,213,n.p.,n.p.,12,2319
2015-16,Not stated,38,—,1,—,4,—,—,5,48
2015-16,Total,1597,681,860,858,424,n.p.,n.p.,269,4800
2016-17,First Nations,713,113,602,552,199,n.p.,n.p.,227,2454
2016-17,Non-Indigenous,772,594,362,317,194,n.p.,n.p.,9,2350
2016-17,Not stated,45,1,4,—,3,—,—,6,59
2016-17,Total,1530,708,968,869,396,65,85,242,4863
2017-18,First Nations,743,120,700,558,177,n.p.,n.p.,192,2534
2017-18,Non-Indigenous,816,595,363,296,155,n.p.,n.p.,6,2354
2017-18,Not stated,32,2,3,—,4,—,—,4,45
2017-18,Total,1591,717,1066,854,336,58,109,202,4933
2018-19,First Nations,692,116,758,513,151,n.p.,n.p.,166,2436
2018-19,Non-Indigenous,827,625,364,322,148,n.p.,n.p.,5,2400
2018-19,Not stated,26,—,6,—,—,—,—,5,37
2018-19,Total,1545,741,1128,835,299,62,87,176,4873
2019-20,First Nations,623,104,682,462,158,n.p.,n.p.,134,2209
2019-20,Non-Indigenous,881,667,365,295,163,n.p.,n.p.,8,2466
2019-20,Not stated,38,—,4,—,1,—,1,1,45
2019-20,Total,1542,771,1051,757,322,n.p.,n.p.,143,4720
2020-21,First Nations,587,74,629,388,121,14,22,163,1998
2020-21,Non-Indigenous,850,559,385,214,138,29,50,8,2233
2020-21,Not stated,43,—,7,—,1,—,2,3,56
2020-21,Total,1480,633,1021,602,260,43,74,174,4287
2021-22,First Nations,631,80,696,518,143,15,17,266,2366
2021-22,Non-Indigenous,672,412,384,238,153,29,55,11,1954
2021-22,Not stated,30,—,—,—,—,—,1,4,35
2021-22,Total,1333,492,1080,756,296,44,73,281,4355
2022-23,First Nations,779,70,771,521,177,17,28,267,2630
2022-23,Non-Indigenous,672,372,331,282,154,41,73,6,1931
2022-23,Not stated,38,—,2,—,—,—,7,9,56
2022-23,Total,1489,442,1104,803,331,58,108,282,4617
2023-24,First Nations,814,57,756,504,185,24,39,292,2671
2023-24,Non-Indigenous,654,296,360,289,132,53,70,8,1862
2023-24,Not stated,32,—,2,—,—,—,3,5,42
2023-24,Total,1500,353,1118,793,317,77,112,305,4575
2024-25,First Nations,812,63,738,537,187,24,34,319,2714
2024-25,Non-Indigenous,699,377,336,272,161,46,65,10,1966
2024-25,Not stated,50,2,3,—,3,—,—,4,62
2024-25,Total,1561,442,1077,809,351,70,99,333,4742
