year,sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
2020-21,Male,First Nations,97.99,81.761,169.809,165.68,103.939,57.773,63.08,93.149,125.751,123.45
2020-21,Male,Non-Indigenous,10.193,7.555,9.712,9.618,7.579,13.409,14.655,3.678,9.306,9.27
2020-21,Male,Total,17.569,9.079,24.036,20.85,12.685,19.085,16.424,44.122,16.915,17.204
2020-21,Female,First Nations,31.99,17.412,76.393,40.99,36.381,19.808,24.778,16.075,45.33,43.268
2020-21,Female,Non-Indigenous,2.563,1.862,3.029,2.23,1.644,6.366,6.316,1.606,2.52,2.515
2020-21,Female,Total,5.005,2.198,9.648,5.152,3.572,7.926,6.935,8.226,5.329,5.36
2020-21,Total,First Nations,65.99,49.872,124.139,103.748,70.869,39.515,45.317,55.47,86.462,84.276
2020-21,Total,Non-Indigenous,6.497,4.789,6.475,6.041,4.688,10.014,10.602,2.689,6.015,5.995
2020-21,Total,Total,11.49,5.734,17.061,13.235,8.245,13.708,11.819,26.794,11.297,11.461
2021-22,Male,First Nations,93.737,63.125,162.289,181.207,114.975,48.733,38.494,128.435,122.363,122.779
2021-22,Male,Non-Indigenous,8.856,6.14,9.376,8.921,8.123,9.029,9.942,6.927,8.244,8.235
2021-22,Male,Total,15.808,7.325,23.055,21.278,13.885,13.62,10.967,61.622,15.645,16.126
2021-22,Female,First Nations,26.537,11.92,77.614,48.613,36.985,17.368,26.586,28.16,44.22,43.122
2021-22,Female,Non-Indigenous,2.295,1.522,3.009,2.406,1.675,6.462,6.697,0.344,2.375,2.363
2021-22,Female,Total,4.336,1.746,9.784,5.877,3.609,7.729,7.333,13.427,5.129,5.214
2021-22,Total,First Nations,61.097,38.191,120.988,115.379,76.678,33.614,33.071,79.4,84.232,83.902
2021-22,Total,Non-Indigenous,5.69,3.895,6.29,5.768,4.981,7.794,8.367,3.787,5.401,5.391
2021-22,Total,Total,10.268,4.621,16.633,13.811,8.876,10.784,9.207,38.375,10.553,10.843
2022-23,Male,First Nations,96.73,46.725,161.529,209.346,124.966,49.531,74.567,217.401,126.334,132.408
2022-23,Male,Non-Indigenous,6.7,5.239,8.697,9.444,9.033,11.608,9.424,5.265,7.354,7.34
2022-23,Male,Total,14.019,6.104,22.304,23.603,15.455,15.963,11.94,98.398,15.041,15.904
2022-23,Female,First Nations,25.449,7.747,68.986,65.997,60.196,16.112,21.246,52.066,44.31,44.826
2022-23,Female,Non-Indigenous,1.842,0.967,2.736,2.662,2.529,7.264,6.528,1.034,2.13,2.123
2022-23,Female,Total,3.787,1.113,8.753,7.329,5.664,8.496,6.988,23.748,4.882,5.077
2022-23,Total,First Nations,62.047,27.631,116.262,138.337,93.219,33.381,50.633,136.629,86.256,89.61
2022-23,Total,Non-Indigenous,4.357,3.161,5.807,6.157,5.873,9.517,8.014,3.228,4.823,4.813
2022-23,Total,Total,9.07,3.68,15.743,15.702,10.69,12.368,9.536,62.345,10.117,10.657
2023-24,Male,First Nations,93.745,48.442,163.568,187.112,163.067,61.538,150.143,n.a.,126.399,n.a.
2023-24,Male,Non-Indigenous,6.204,4.558,8.106,9.184,8.298,13.98,14.997,n.a.,6.924,n.a.
2023-24,Male,Total,13.242,5.473,21.808,21.538,16.66,19.497,19.753,n.a.,14.557,n.a.
2023-24,Female,First Nations,28.994,6.028,72.863,60.943,84.097,30.78,87.388,n.a.,48.409,n.a.
2023-24,Female,Non-Indigenous,1.825,0.901,2.699,3.041,3.113,6.309,10.487,n.a.,2.192,n.a.
2023-24,Female,Total,4.013,1.011,8.997,7.19,7.491,9.111,12.907,n.a.,5.164,n.a.
2023-24,Total,First Nations,62.41,27.502,119.154,124.801,124.402,46.615,121.891,n.a.,88.346,n.a.
2023-24,Total,Non-Indigenous,4.085,2.779,5.483,6.202,5.772,10.32,12.822,n.a.,4.629,n.a.
2023-24,Total,Total,8.775,3.301,15.595,14.565,12.191,14.52,16.46,n.a.,10,n.a.
2024-25,Male,First Nations,92.755,50.731,155.643,158.603,140.536,74.954,167.833,n.a.,119.528,n.a.
2024-25,Male,Non-Indigenous,6.426,4.891,7.429,8.364,6.193,16.906,13.438,n.a.,6.736,n.a.
2024-25,Male,Total,13.356,5.851,20.476,18.656,13.596,23.474,18.78,n.a.,13.925,n.a.
2024-25,Female,First Nations,32.959,8.975,72.599,47.398,60.741,49.511,114.159,n.a.,47.842,n.a.
2024-25,Female,Non-Indigenous,1.668,0.695,2.528,2.331,1.964,6.579,5.564,n.a.,1.835,n.a.
2024-25,Female,Total,4.123,0.87,8.741,5.488,5.122,11.489,8.795,n.a.,4.747,n.a.
2024-25,Total,First Nations,63.941,30.193,115.002,103.889,101.63,62.59,143.934,n.a.,84.646,n.a.
2024-25,Total,Non-Indigenous,4.128,2.849,5.064,5.433,4.133,12.07,9.627,n.a.,4.365,n.a.
2024-25,Total,Total,8.892,3.426,14.79,12.252,9.497,17.84,13.96,n.a.,9.478,n.a.
