year,sex,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
2015-16,Male,23.22,16.688,34.408,37.308,20.824,24.381,22.871,61.094,25.379,25.777
2015-16,Female,6.396,3.866,11.016,7.858,5.354,5.833,8.648,18.864,6.87,7.001
2015-16,Total,15.047,10.439,23.037,22.918,13.278,15.428,15.912,40.791,16.372,16.641
2016-17,Male,20.498,14.365,32.18,36.215,20.649,22.189,22.604,67.134,23.264,23.746
2016-17,Female,5.965,3.709,11.719,7.608,6.141,7.966,7.001,22.322,6.894,7.06
2016-17,Total,13.447,9.172,22.227,22.244,13.569,15.335,14.978,45.554,15.3,15.629
2017-18,Male,19.125,13.743,35.783,35.307,18.135,25.4,27.506,62.19,23.337,23.76
2017-18,Female,6.075,3.386,12.493,7.408,4.109,11.459,12.053,15.19,7.011,7.099
2017-18,Total,12.796,8.705,24.48,21.703,11.287,18.672,19.979,39.475,15.405,15.665
2018-19,Male,18.789,12.599,35.097,33.186,15.691,30.075,20.809,67.962,22.407,22.897
2018-19,Female,6.708,3.27,13.259,8.716,3.262,11.805,7.134,13.943,7.364,7.434
2018-19,Total,12.933,8.069,24.505,21.289,9.615,21.241,14.158,41.735,15.104,15.391
2019-20,Male,18.082,10.869,28.602,28.731,16.767,26.911,18.094,68.539,19.829,20.345
2019-20,Female,6.001,3.341,12.002,8.394,3.351,11.319,6.522,12.379,6.839,6.897
2019-20,Total,12.232,7.211,20.562,18.871,10.221,19.379,12.483,41.333,13.53,13.824
2020-21,Male,17.569,9.079,24.036,20.85,12.685,19.085,16.424,44.122,16.915,17.204
2020-21,Female,5.005,2.198,9.648,5.152,3.572,7.926,6.935,8.226,5.329,5.36
2020-21,Total,11.49,5.734,17.061,13.235,8.245,13.708,11.819,26.794,11.297,11.461
2021-22,Male,15.808,7.325,23.055,21.278,13.885,13.62,10.967,61.622,15.645,16.126
2021-22,Female,4.336,1.746,9.784,5.877,3.609,7.729,7.333,13.427,5.129,5.214
2021-22,Total,10.268,4.621,16.633,13.811,8.876,10.784,9.207,38.375,10.553,10.843
2022-23,Male,14.019,6.104,22.304,23.603,15.455,15.963,11.94,98.398,15.041,15.904
2022-23,Female,3.787,1.113,8.753,7.329,5.664,8.496,6.988,23.748,4.882,5.077
2022-23,Total,9.07,3.68,15.743,15.702,10.69,12.368,9.536,62.345,10.117,10.657
2023-24,Male,13.242,5.473,21.808,21.538,16.66,19.497,19.892,n.a.,14.558,n.a.
2023-24,Female,4.013,1.011,8.997,7.19,7.491,9.111,12.803,n.a.,5.163,n.a.
2023-24,Total,8.775,3.301,15.595,14.565,12.191,14.52,16.455,n.a.,10,n.a.
2024-25,Male,13.356,5.851,20.476,18.656,13.596,23.474,19.013,n.a.,13.927,n.a.
2024-25,Female,4.123,0.87,8.741,5.488,5.122,11.489,8.722,n.a.,4.746,n.a.
2024-25,Total,8.892,3.426,14.79,12.252,9.497,17.84,13.991,n.a.,9.479,n.a.
