indigenous_status,10,11,12,13,14,15,16,17,10_17
First Nations,1.892,2.409,18.795,51.25,123.169,234.407,265.848,294.013,124.672
Non-Indigenous,—,—,0.159,1.994,5.131,10.01,14.642,19.481,6.38
Total,0.131,0.169,1.413,5.382,13.311,25.791,32.356,38.734,14.572
