year,sex,indigenous_status,10,11,12,13,10_13,14,15,16,17,14_17,10_17,18plus,total
2020-21,Male,First Nations,—,—,0.5,2.3,2.8,5.9,10,13.4,24.6,53.9,56.7,65,121.7
2020-21,Male,Non-Indigenous,—,—,—,—,—,0.1,0.4,0.2,2.1,2.8,2.8,4.5,7.3
2020-21,Male,Not stated,—,—,—,—,—,—,—,0.2,0.5,0.7,0.7,4.6,5.3
2020-21,Male,Total,—,—,0.5,2.3,2.8,6,10.4,13.8,27.2,57.3,60.2,74.1,134.3
2020-21,Female,First Nations,—,—,—,0.1,0.1,0.8,2.1,2.6,3.8,9.3,9.4,5.4,14.8
2020-21,Female,Non-Indigenous,—,—,—,—,—,—,—,—,1.1,1.1,1.1,0.8,1.9
2020-21,Female,Not stated,—,—,—,—,—,—,—,—,—,—,—,—,—
2020-21,Female,Total,—,—,—,0.1,0.1,0.8,2.1,2.6,4.9,10.4,10.5,6.2,16.7
2020-21,Total,First Nations,—,—,0.5,2.3,2.9,6.7,12.1,16,28.4,63.2,66.1,70.4,136.4
2020-21,Total,Non-Indigenous,—,—,—,—,—,0.1,0.4,0.2,3.2,3.9,3.9,5.3,9.2
2020-21,Total,Not stated,—,—,—,—,—,—,—,0.2,0.5,0.7,0.7,4.6,5.3
2020-21,Total,Total,—,—,0.5,2.3,2.9,6.8,12.5,16.4,32,67.7,70.6,80.3,150.9
2021-22,Male,First Nations,0.1,0.8,1.6,5.2,7.7,10.4,17.1,18.8,23.4,69.6,77.3,75.1,152.4
2021-22,Male,Non-Indigenous,—,—,0.1,—,0.1,—,1.5,1.2,2.6,5.2,5.3,5.5,10.8
2021-22,Male,Not stated,—,—,—,—,—,—,—,0.2,1.6,1.8,1.8,4.2,6.1
2021-22,Male,Total,0.1,0.8,1.7,5.2,7.8,10.4,18.6,20.2,27.6,76.7,84.4,84.8,169.2
2021-22,Female,First Nations,—,0.1,0.2,0.3,0.6,1.5,4.7,4.9,4.5,15.6,16.2,7.5,23.7
2021-22,Female,Non-Indigenous,—,—,—,—,—,—,0.2,—,—,0.2,0.2,0.6,0.9
2021-22,Female,Not stated,—,—,—,—,—,—,—,0.6,0.1,0.7,0.7,—,0.7
2021-22,Female,Total,—,0.1,0.2,0.3,0.6,1.5,5,5.5,4.6,16.6,17.1,8.1,25.2
2021-22,Total,First Nations,0.1,0.9,1.8,5.5,8.3,11.8,21.8,23.7,27.9,85.3,93.5,82.6,176.1
2021-22,Total,Non-Indigenous,—,—,0.1,—,0.1,—,1.8,1.2,2.6,5.5,5.6,6.1,11.7
2021-22,Total,Not stated,—,—,—,—,—,—,—,0.8,1.7,2.5,2.5,4.2,6.7
2021-22,Total,Total,0.1,0.9,1.9,5.5,8.4,11.9,23.6,25.6,32.2,93.2,101.6,92.9,194.5
2022-23,Male,First Nations,0.2,2,4.2,7.2,13.6,14.8,31.5,31.1,38.5,115.9,129.5,101,230.4
2022-23,Male,Non-Indigenous,—,—,—,0.1,0.1,—,0.5,2.5,1,4,4.2,8.5,12.6
2022-23,Male,Not stated,—,0.7,—,—,0.7,0.1,0.8,0.5,0.6,2,2.7,6.9,9.6
2022-23,Male,Total,0.2,2.7,4.2,7.3,14.4,14.9,32.9,34.2,40,121.9,136.3,116.4,252.7
2022-23,Female,First Nations,—,0.3,0.4,1.6,2.3,4.4,7.4,7.2,8.3,27.3,29.6,11.6,41.2
2022-23,Female,Non-Indigenous,—,—,—,0.8,0.8,—,—,—,—,—,0.8,—,0.8
2022-23,Female,Not stated,—,—,—,0.4,0.4,0.1,—,—,0.1,0.2,0.6,0.1,0.7
2022-23,Female,Total,—,0.3,0.4,2.8,3.5,4.5,7.4,7.2,8.4,27.5,30.9,11.8,42.7
2022-23,Total,First Nations,0.2,2.3,4.5,8.8,15.9,19.2,38.9,38.2,46.8,143.2,159.1,112.6,271.7
2022-23,Total,Non-Indigenous,—,—,—,0.9,0.9,—,0.5,2.5,1,4,4.9,8.5,13.4
2022-23,Total,Not stated,—,0.8,—,0.4,1.2,0.2,0.8,0.7,0.7,2.4,3.6,7.1,10.7
2022-23,Total,Total,0.2,3.1,4.5,10.1,18,19.4,40.3,41.5,48.5,149.6,167.6,128.2,295.7
2023-24,Male,First Nations,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2023-24,Male,Non-Indigenous,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2023-24,Male,Not stated,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2023-24,Male,Total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2023-24,Female,First Nations,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2023-24,Female,Non-Indigenous,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2023-24,Female,Not stated,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2023-24,Female,Total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2023-24,Total,First Nations,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2023-24,Total,Non-Indigenous,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2023-24,Total,Not stated,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2023-24,Total,Total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2024-25,Male,First Nations,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2024-25,Male,Non-Indigenous,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2024-25,Male,Not stated,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2024-25,Male,Total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2024-25,Female,First Nations,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2024-25,Female,Non-Indigenous,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2024-25,Female,Not stated,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2024-25,Female,Total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2024-25,Total,First Nations,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2024-25,Total,Non-Indigenous,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2024-25,Total,Not stated,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
2024-25,Total,Total,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
