socioeconomic_areas,nsw,vic,qld,wa,sa,tas,act,nt,australia
1 (lowest),293.2,83.5,522.4,121.7,120.9,77.5,—,n.a.,1219.3
2,262.5,49.3,318.2,154.9,36.4,20,. .,n.a.,841.3
3,119.8,81.3,199.8,78.5,31.1,9.3,0.3,n.a.,520.1
4,78.9,36.1,70.8,62.8,11,3.5,23,n.a.,286.1
5 (highest),86.8,22.1,23.4,19.6,0.7,0.3,34.8,n.a.,187.6
Total under supervision,918.2,299.92,1142.23,437.52,204.96,110.24,63.69,n.a.,3176.77
