section,remoteness_area,nsw,vic,qld,wa,sa,tas,act,nt,australia
,Major cities of Australia,21.181,8.27,24.035,39.841,27.033,. .,38.941,. .,21.293
,Inner regional Australia,34.302,8.137,30.451,19.758,12.849,43.695,—,. .,25.576
,Outer regional Australia,37.07,9.433,72.161,49.159,40.662,28.341,. .,158.097,55.59
,Remote Australia,108.558,—,138.853,75.09,n.p.,n.p.,. .,327.749,133.707
,Very remote Australia,338.742,. .,146.381,264.555,122.924,—,. .,304.383,233.442
