legal_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Pre-court detention,383,—,44,419,156,—,78,—,1080
Remand,1236,316,937,533,245,62,39,206,3574
Total unsentenced,1409,316,958,748,336,n.p.,n.p.,206,4128
Sentenced,153,74,132,78,31,n.p.,n.p.,90,576
Other,—,1,—,—,—,—,—,63,64
Total young people,1487,374,1003,789,345,69,95,315,4477
