indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,72,53,63,46,46,87,42,n.a.,59
Non-Indigenous,85,60,76,53,50,89,39,n.a.,66
Not stated,92,23,118,—,182,43,—,n.a.,88
Total,77,59,67,48,48,87,40,n.a.,62
First Nations,104,75,93,71,67,165,49,n.a.,91
Non-Indigenous,145,81,119,74,71,182,50,n.a.,96
Not stated,113,23,155,—,182,48,—,n.a.,113
Total,122,78,100,71,69,168,50,n.a.,92
First Nations,1025,197,1670,935,379,60,66,n.a.,4332
Non-Indigenous,685,837,760,653,265,134,128,n.a.,3462
Not stated,47,3,4,—,2,3,—,n.a.,59
Total,1757,1037,2434,1588,646,197,194,n.a.,7853
First Nations,703,139,1085,577,225,45,38,n.a.,2812
Non-Indigenous,529,581,555,399,161,96,72,n.a.,2393
Not stated,43,2,4,—,2,3,—,n.a.,54
Total,1275,722,1644,976,388,144,110,n.a.,5259
