sex,indigenous_status,10_11,12,13,14,15,16,17,10_17,18plus,total
Male,First Nations,17,83,182,416,627,703,873,2901,690,3592
Male,Non-Indigenous,1,7,77,234,490,606,746,2161,664,2825
Male,Not stated,—,1,2,9,19,28,37,96,19,115
Male,Total,18,91,261,659,1136,1337,1656,5158,1373,6532
Female,First Nations,1,21,67,169,245,243,212,958,131,1089
Female,Non-Indigenous,1,8,25,73,147,137,172,563,83,646
Female,Not stated,—,1,—,4,4,8,2,19,2,21
Female,Total,2,30,92,246,396,388,386,1540,216,1756
Not stated,First Nations,—,—,—,—,—,2,—,2,1,3
Not stated,Non-Indigenous,—,—,—,—,1,1,4,6,—,6
Not stated,Not stated,—,1,—,—,1,—,1,3,1,4
Not stated,Total,—,1,—,—,2,3,5,11,2,13
Total,First Nations,18,104,249,585,872,948,1085,3861,822,4684
Total,Non-Indigenous,2,15,102,307,638,744,922,2730,747,3477
Total,Not stated,—,3,2,13,24,36,40,118,22,140
Total,Total,20,122,353,905,1534,1728,2047,6709,1591,8301
