year,sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
Dec 2023,Males,Non-Indigenous,392896,329814,269575,141029,85573,24837,16495,6019,1260217,1266236
Dec 2023,Males,Total,424838,336833,295545,151552,90417,28010,17094,10444,1344289,1354733
Dec 2023,Persons,First Nations,61953,13864,50989,20791,9491,6164,1090,8616,164341,172957
Dec 2023,Persons,Non-Indigenous,762537,642281,523591,274059,166900,47959,31851,11601,2449177,2460778
Dec 2023,Persons,Total,824489,656144,574579,294850,176391,54123,32942,20217,2613518,2633734
Dec 2024,Females,First Nations,29929,6867,25023,10231,4658,2959,487,5501,80153,85653
Dec 2024,Females,Non-Indigenous,373254,318154,257432,135816,82036,23154,15889,7785,1205734,1213518
Dec 2024,Females,Total,403182,325020,282455,146046,86694,26113,16377,13285,1285887,1299172
Dec 2024,Males,First Nations,32091,7094,26077,10563,4896,3130,607,5885,84456,90341
Dec 2024,Males,Non-Indigenous,396374,335453,272923,143634,86416,24801,16939,8410,1276538,1284948
Dec 2024,Males,Total,428464,342546,298999,154197,91311,27931,17546,14294,1360994,1375288
Dec 2024,Persons,First Nations,62019,13960,51100,20794,9554,6089,1095,11385,164609,175994
Dec 2024,Persons,Non-Indigenous,769627,653606,530355,279450,168452,47955,32829,16194,2482272,2498466
Dec 2024,Persons,Total,831646,667566,581454,300243,178005,54044,33923,27579,2646881,2674460
