number_of_releases,first_nations,non_indigenous,not_stated,total
1,1368,1026,48,2442
2,613,396,7,1016
3,280,194,3,477
4,141,87,—,228
5,94,47,—,141
6+,106,67,—,173
Total,2602,1817,58,4477
