section,socioeconomic_areas,nsw,vic,qld,wa,sa,tas,act,nt,australia
,1 (lowest),676,177,926,360,320,146,—,250,2855
,2,673,99,578,467,84,36,—,150,2087
,3,283,154,342,263,76,17,2,134,1271
,4,223,77,135,188,36,8,56,91,814
,5 (highest),234,47,44,59,n.p.,n.p.,76,3,468
,Total under supervision,2309,635,2061,1341,541,216,152,653,7908
