sex,year,10,11,12,13,14,15,16,17,10_17
Male,2020-21,7,39,108,338,750,1252,1518,1950,5962
Male,2021-22,8,26,118,313,756,1157,1594,1770,5742
Male,2022-23,12,49,141,378,788,1204,1500,1835,5907
Male,2023-24,10,24,122,386,745,1303,1530,1747,5867
Male,2024-25,4,27,127,380,816,1310,1525,1869,6058
Female,2020-21,—,5,37,134,279,416,409,423,1703
Female,2021-22,1,7,61,131,274,388,397,368,1627
Female,2022-23,5,7,61,160,287,430,406,381,1737
Female,2023-24,3,7,52,155,342,414,476,398,1847
Female,2024-25,1,3,45,148,304,454,439,445,1839
Not stated,2020-21,—,—,—,—,—,1,—,—,1
Not stated,2021-22,—,—,—,—,—,1,4,1,6
Not stated,2022-23,—,1,—,2,—,1,4,1,9
Not stated,2023-24,—,—,—,—,2,2,2,5,11
Not stated,2024-25,—,—,1,—,—,2,3,5,11
Total,2020-21,7,44,145,472,1029,1669,1927,2373,7666
Total,2021-22,9,33,179,444,1030,1546,1995,2139,7375
Total,2022-23,17,57,202,540,1075,1635,1910,2217,7653
Total,2023-24,13,31,174,541,1089,1719,2008,2150,7725
Total,2024-25,5,30,173,528,1120,1766,1967,2319,7908
