socioeconomic_areas,nsw,vic,qld,wa,sa,tas,act,nt,australia
1 (lowest),15.22,6.762,25.453,23.911,15.757,24.912,. .,n.a.,17.857
2,10.821,3.2,18.891,16.311,9.3,14.244,. .,n.a.,11.814
3,8.616,3.348,10.342,11.253,6.371,12.137,—,n.a.,7.533
4,4.484,1.928,5.926,7.233,3.447,4.909,17.404,n.a.,4.603
5 (highest),2.991,1.524,2.769,3.511,0.467,2.295,10.78,n.a.,2.932
