indigenous_status,10,11,12,13,14,15,16,17,10_17
First Nations,—,—,9.692,11.895,43.678,81.775,154.867,166.61,62.59
Non-Indigenous,0.138,—,—,2.09,6.555,19.195,25.025,40.97,12.07
Total,0.123,—,1.263,3.154,10.635,26.386,40.567,56.123,17.84
