sex,indigenous_status,10,11,12,13,14,15,16,17
Male,First Nations,0.45,2.848,17.769,49.507,133.971,264.528,340.486,388.834
Male,Non-Indigenous,—,—,0.098,1.496,5.337,13.981,22.042,25.255
Male,Total,—,—,1.251,4.619,13.78,30.78,43.714,49.774
Female,First Nations,—,0.1,6.167,18.492,51.737,103.598,113.38,101.593
Female,Non-Indigenous,—,0.053,0.094,0.484,1.5,3.917,5.043,5.129
Female,Total,—,0.056,0.497,1.672,4.873,10.614,12.414,11.711
Total,First Nations,0.234,1.531,12.133,34.287,93.64,185.724,229.848,248.265
Total,Non-Indigenous,—,—,0.096,1.004,3.471,9.096,13.819,15.537
Total,Total,—,0.124,0.885,3.185,9.446,20.996,28.552,31.352
