sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Male,First Nations,329.9,68.9,557,205.9,80.5,33.1,14.9,n.a.,1290.1
Male,Non-Indigenous,282.7,302.9,377.6,148.8,67.5,68.2,35.4,n.a.,1283.1
Male,Not stated,21.3,0.4,4.1,—,2.6,0.5,—,n.a.,28.8
Male,Total,633.9,372.2,938.7,354.7,150.6,101.7,50.2,n.a.,2602.1
Female,First Nations,101.8,9.6,228.6,53.7,31.8,20.5,6.1,n.a.,452.1
Female,Non-Indigenous,66.7,37.5,95.1,36.6,20.5,22.9,14.6,n.a.,293.8
Female,Not stated,5.3,—,0.2,—,—,0.1,—,n.a.,5.6
Female,Total,173.8,47.1,323.9,90.2,52.3,43.5,20.7,n.a.,751.5
Not stated,First Nations,0.4,—,0.1,—,—,—,—,n.a.,0.5
Not stated,Non-Indigenous,0.7,—,1,—,—,1.9,—,n.a.,3.7
Not stated,Not stated,—,—,—,—,0.5,0.1,—,n.a.,0.6
Not stated,Total,1.1,—,1.2,—,0.5,2,—,n.a.,4.8
Total,First Nations,432.1,78.6,785.7,259.5,112.3,53.6,20.9,n.a.,1742.7
Total,Non-Indigenous,350.2,340.4,473.8,185.4,88.1,92.9,50,n.a.,1580.6
Total,Not stated,26.6,0.4,4.3,—,3.1,0.7,—,n.a.,35.1
Total,Total,808.9,419.4,1263.8,444.9,203.4,147.2,70.9,n.a.,3358.4
