year,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
2016-17,First Nations,211.483,206.951,325.724,557.288,390.453,n.p.,n.p.,273.074,294.63
2016-17,Non-Indigenous,18.866,18.624,22.855,27.529,21.267,n.p.,n.p.,11.358,21.015
2016-17,Total,34.741,22.412,48.948,65.969,39.404,36.484,39.395,142.942,39.675
2017-18,First Nations,204.536,178.775,348.195,522.784,337.05,n.p.,n.p.,225.595,285.931
2017-18,Non-Indigenous,18.703,17.571,23.723,28.428,18.874,n.p.,n.p.,8.145,20.848
2017-18,Total,34.231,20.88,52.231,64.619,35,37.802,42.587,114.623,39.165
2018-19,First Nations,195.615,152.759,357.922,472.941,278.196,109.155,242.215,231.137,275.325
2018-19,Non-Indigenous,19.474,16.718,22.775,29.54,16.727,29.42,29.993,8.663,20.643
2018-19,Total,34.131,19.512,52.601,62.274,30.207,42.164,37.899,114.76,38.327
2019-20,First Nations,179.526,133.737,297.979,414.444,254.821,n.p.,n.p.,212.02,242.177
2019-20,Non-Indigenous,19.101,15.951,18.533,26.116,16.795,n.p.,n.p.,9.982,18.955
2019-20,Total,32.68,18.381,43.545,54.823,29.475,39.381,34.091,104.98,34.577
2020-21,First Nations,165.162,115.58,264.311,341.633,217.538,n.p.,n.p.,209.103,214.625
2020-21,Non-Indigenous,18.482,12.616,16.507,20.265,15.064,n.p.,n.p.,10.381,16.643
2020-21,Total,31.264,14.787,38.937,43.926,26.019,33.89,30.159,102.436,30.677
2021-22,First Nations,168.517,94.672,262.728,376.226,222.683,70.204,152.725,275.042,221.218
2021-22,Non-Indigenous,15.284,9.821,15.475,19.938,14.387,19.425,21.263,10.89,14.522
2021-22,Total,28.195,11.616,37.875,46.081,25.806,25.801,25.97,130.704,29.008
2022-23,First Nations,185.11,79.693,260.411,406.341,272.276,n.p.,n.p.,331.53,236.431
2022-23,Non-Indigenous,14.197,8.271,13.999,22.011,16.911,n.p.,n.p.,8.534,13.946
2022-23,Total,28.352,9.784,36.242,49.764,30.953,29.44,33.85,154.035,29.443
2023-24,First Nations,188.854,72.132,268.1,402.097,298.177,n.p.,n.p.,572.224,251.855
2023-24,Non-Indigenous,13.18,7.178,13.255,20.397,15.698,n.p.,n.p.,22.004,13.168
2023-24,Total,27.569,8.55,36.009,47.312,31.067,34.551,48.253,266.807,29.334
2024–25,First Nations,188.329,83.811,264.386,388.583,304.6,131.384,438.556,535.793,254.156
2024–25,Non-Indigenous,13.357,7.864,13.123,19.073,14.307,27.317,31.753,16.055,13.1
2024–25,Total,27.764,9.512,35.446,44.664,30.392,39.967,44.908,236.774,29.569
