indigenous_status,10,11,12,13,14,15,16,17,10_17
First Nations,—,0.823,—,1.434,14.155,59.624,76.492,148.384,38.006
Non-Indigenous,—,—,—,0.128,1.703,6.186,10.582,11.792,3.768
Total,—,—,—,0.155,1.966,7.331,12.027,14.723,4.493
