year,sex,indigenous_status,10,11,12,13,10_13,14,15,16,17,14_17,10_17,18plus,total
2020-21,Male,First Nations,—,0.2,1.3,2.3,3.8,4,8.4,12.7,18.4,43.5,47.3,15.6,62.9
2020-21,Male,Non-Indigenous,—,0.1,0.1,0.6,0.9,6.3,11.6,13.6,29.3,60.8,61.7,29.5,91.2
2020-21,Male,Not stated,—,—,—,—,—,—,—,—,—,—,—,0.7,0.7
2020-21,Male,Total,—,0.3,1.4,2.9,4.7,10.3,20,26.3,47.7,104.3,109,45.8,154.7
2020-21,Female,First Nations,—,—,0.2,0.3,0.5,2.3,6,3.5,3.5,15.3,15.9,5.3,21.2
2020-21,Female,Non-Indigenous,—,—,0.4,0.3,0.7,1.3,2.5,3.7,4.4,12,12.7,1.5,14.2
2020-21,Female,Not stated,—,—,—,—,—,—,—,0.3,0.3,0.6,0.6,—,0.6
2020-21,Female,Total,—,—,0.6,0.6,1.3,3.7,8.6,7.4,8.3,27.9,29.2,6.8,36
2020-21,Total,First Nations,—,0.2,1.5,2.6,4.3,6.3,14.5,16.2,21.9,58.9,63.2,20.9,84.1
2020-21,Total,Non-Indigenous,—,0.1,0.5,0.9,1.6,7.6,14.1,17.3,33.8,72.8,74.4,31,105.4
2020-21,Total,Not stated,—,—,—,—,—,—,—,0.3,0.3,0.6,0.6,0.7,1.2
2020-21,Total,Total,—,0.3,2.1,3.6,5.9,13.9,28.6,33.7,56,132.2,138.2,52.6,190.7
2021-22,Male,First Nations,—,0.2,0.4,3.8,4.4,7.7,11.8,14.4,15.3,49.2,53.6,11.7,65.3
2021-22,Male,Non-Indigenous,—,0.2,0.6,1.9,2.7,7.2,10.4,23.1,23.5,64.1,66.9,26.1,93
2021-22,Male,Not stated,—,—,—,—,—,—,—,—,0.3,0.3,0.3,0.6,0.9
2021-22,Male,Total,—,0.4,1,5.7,7.1,14.9,22.3,37.5,39,113.7,120.8,38.4,159.2
2021-22,Female,First Nations,—,0.5,0.2,2.1,2.8,2,3.4,6.2,2.2,13.8,16.6,4.8,21.5
2021-22,Female,Non-Indigenous,—,—,—,0.1,0.1,1.3,5.2,2.6,3.9,13,13.1,5.4,18.5
