indigenous_status,10,11,12,13,14,15,16,17,10_17
First Nations,—,3.575,27.323,74.177,166.373,279.677,336.158,330.429,154.587
Non-Indigenous,—,0.123,0.312,2.42,5.121,10.936,15.973,17.013,6.568
Total,—,0.422,2.707,8.755,19.296,34.618,44.523,44.947,19.644
