supervision_periods,nsw,vic,qld,wa,sa,tas,act,nt,australia
No. completed,2618,667,1391,1949,517,146,134,n.a.,7422
No. not completed,1000,601,1577,508,259,176,92,n.a.,4213
No. of supervision periods,3618,1268,2968,2457,776,322,226,n.a.,11635
