sex,year,10,11,12,13,14,15,16,17,10_17
Male,2020-21,0.062,0.448,1.589,5.499,16.22,35.942,51.251,65.735,21.06
Male,2021-22,—,0.236,1.71,5.307,15.3,30.726,49.854,62.703,19.954
Male,2022-23,0.083,0.345,1.121,6.001,15.658,31.922,44.649,58.216,19.338
Male,2023-24,—,0.368,1.334,5.363,14.777,31.824,43.25,53.979,18.822
Male,2024-25,—,0.178,1.257,4.669,13.927,31.099,44.16,50.269,18.302
Female,2020-21,—,0.061,0.482,1.871,6.281,11.081,14.446,14.497,5.819
Female,2021-22,—,—,0.578,2.59,5.812,10.57,13.626,13.637,5.657
Female,2022-23,—,0.083,0.566,2.454,6.088,10.535,12.243,12.198,5.42
Female,2023-24,—,0.084,0.412,2.074,5.752,11.222,13.886,12.416,5.72
Female,2024-25,—,0.057,0.499,1.69,4.922,10.72,12.537,11.825,5.311
Total,2020-21,—,0.26,1.051,3.74,11.406,23.926,33.459,40.852,13.669
Total,2021-22,—,0.141,1.16,3.988,10.702,20.984,32.387,38.969,13.029
Total,2022-23,—,0.218,0.85,4.277,11.033,21.556,28.964,35.972,12.589
Total,2023-24,—,0.23,0.885,3.762,10.398,21.82,29.029,33.846,12.463
Total,2024-25,—,0.12,0.889,3.219,9.545,21.21,28.838,31.66,12.002
