sex,year,10,11,12,13,14,15,16,17,10_17
Male,2020-21,0.9,6.2,20.9,69.3,200.9,450.6,620,784.5,2153.2
Male,2021-22,0.3,3.2,21.6,65.8,192,379.6,611.6,752.3,2026.3
Male,2022-23,1.1,4.3,14.2,75.5,201,417.4,565.6,711.5,1990.6
Male,2023-24,0.3,4.4,17.4,68.5,186.4,428.2,562.1,689.5,1956.9
Male,2024-25,0.6,2.6,16.4,57.5,179.6,408.3,574.6,655.6,1895.2
Female,2020-21,—,0.9,6.3,23.9,85.2,145.5,190.3,187.3,639.4
Female,2021-22,—,0.6,7.4,35.1,80.2,146.2,179.2,177.3,626.1
Female,2022-23,—,1.2,7.7,35.5,85.7,148.1,169.7,161.9,609.8
Female,2023-24,—,1.3,5.4,29.8,81.5,161.4,201.8,174.2,655.4
Female,2024-25,0.1,0.4,6,22.1,70.6,158.2,180.8,172,610.3
Not stated,2020-21,—,—,—,—,—,0.3,0.4,—,0.7
Not stated,2021-22,—,—,—,—,—,0.5,2.1,0.2,2.8
Not stated,2022-23,—,—,—,—,0.6,—,0.4,1.2,2.2
Not stated,2023-24,—,—,—,—,0.3,—,0.6,0.2,1.2
Not stated,2024-25,—,—,—,—,—,0.7,1.3,1.3,3.3
Total,2020-21,0.9,7,27.2,93.3,286,596.4,810.7,971.8,2793.3
Total,2021-22,0.3,3.8,29,101,272.2,526.4,792.8,929.8,2655.2
Total,2022-23,1.1,5.5,21.9,111,287.3,565.5,735.7,874.5,2602.5
Total,2023-24,0.3,5.7,22.8,98.3,268.2,589.7,764.5,864,2613.4
Total,2024-25,0.7,3,22.3,79.7,250.2,567.2,756.8,828.9,2508.8
