age,nsw,vic,qld,wa,sa,tas,act,nt,australia
10–13,28,12,202,108,40,10,8,87,495
14,205,56,278,157,63,23,21,102,905
15,407,145,458,231,108,39,37,109,1534
16,456,175,487,260,131,55,27,137,1728
17,572,213,508,319,117,81,40,197,2047
10–17,1668,601,1933,1075,459,208,133,632,6709
18+,73,398,523,101,63,49,21,363,1591
Total,1741,999,2456,1177,522,257,154,995,8301
